n,gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q3,q4
821,0.025,-0.038,0.009,0.105,0.235,9.92,-18.611,4.323,-91.179,0.902,-0.009,0.069,0.422
822,-0.025,0.041,-0.014,0.23,0.235,9.939,-19.035,3.207,-91.216,0.902,-0.009,0.069,0.422
823,-0.034,0.038,-0.022,0.254,0.201,9.762,-18.786,4.146,-92.059,0.902,-0.009,0.069,0.422
824,0.017,-0.031,0.034,0.235,0.326,9.844,-18.077,3.321,-92.773,0.902,-0.009,0.069,0.422
825,-0.001,0.024,-0.04,0.182,0.378,9.805,-18.077,3.321,-92.773,0.902,-0.009,0.069,0.422
826,0.015,-0.014,0.029,0.235,0.378,10.002,-19.662,5.445,-91.776,0.902,-0.009,0.069,0.422
827,0.04,-0.04,0.029,0.12,0.263,9.815,-20.375,4.172,-91.826,0.902,-0.009,0.069,0.422
828,0.028,-0.013,0.017,0.192,0.287,9.901,-20.375,4.172,-91.826,0.902,-0.008,0.069,0.422
829,-0.02,0.042,-0.009,0.201,0.335,9.92,-19.252,5.424,-92.486,0.902,-0.009,0.069,0.422
830,-0.024,0.021,0.011,0.177,0.24,9.887,-17.625,3.325,-92.322,0.902,-0.009,0.069,0.422
831,-0.036,0.062,-0.001,0.158,0.163,9.887,-18.324,4.156,-91.317,0.902,-0.009,0.069,0.422
832,0.038,-0.014,0.029,0.081,0.335,9.944,-17.471,3.973,-91.869,0.902,-0.009,0.069,0.422
833,0.036,0.005,0.033,0.292,0.192,9.81,-18.793,3.336,-92.509,0.902,-0.009,0.069,0.422
834,0.001,0.012,-0.02,0.062,0.235,9.939,-19.965,4.152,-92.536,0.902,-0.009,0.069,0.422
835,0.012,-0.014,0.029,0.24,0.393,9.81,-18.169,2.386,-91.635,0.902,-0.009,0.069,0.422
836,-0.034,0.016,0.009,0.172,0.369,9.906,-19.068,4.8,-91.621,0.902,-0.009,0.069,0.423
837,-0.023,0.054,0.005,0.254,0.287,9.906,-19.068,4.8,-91.621,0.902,-0.009,0.069,0.423
838,0.03,-0.037,0.024,0.206,0.278,9.877,-18.15,3.525,-90.743,0.902,-0.009,0.069,0.423
839,-0.064,0.02,-0.012,0.168,0.326,9.882,-20.525,2.72,-92.439,0.902,-0.009,0.069,0.423
840,0.03,-0.055,0.011,0.196,0.412,9.834,-20.525,2.72,-92.439,0.902,-0.009,0.069,0.423
841,0.002,0.008,0.086,0.067,0.216,9.882,-18.21,2.685,-92.645,0.902,-0.009,0.069,0.423
842,0.022,0.007,0.027,0.249,0.311,9.911,-19.667,4.958,-92.075,0.901,-0.009,0.069,0.423
843,-0.039,0.034,0.003,0.378,0.292,9.92,-18.345,4.628,-91.743,0.901,-0.009,0.069,0.423
844,-0.024,0.004,0.009,0.201,0.211,9.982,-19.338,4.332,-91.205,0.901,-0.009,0.069,0.423
845,-0.037,0.017,0.028,0.211,0.278,9.93,-19.359,4.803,-91.632,0.901,-0.01,0.069,0.424
846,0.05,-0.025,0.032,0.326,0.34,9.911,-19.109,5.099,-92.632,0.901,-0.009,0.069,0.424
847,0.026,0.009,-0.029,0.211,0.273,9.968,-19.109,5.099,-92.632,0.901,-0.009,0.069,0.424
848,0.038,-0.005,0.062,0.153,0.268,9.863,-19.851,5.099,-93.094,0.901,-0.009,0.069,0.424
849,0.02,-0.017,0.059,0.201,0.249,9.978,-19.373,5.118,-91.916,0.901,-0.009,0.069,0.424
850,0.04,-0.019,0.066,0.307,0.292,10.006,-19.373,5.118,-91.916,0.901,-0.009,0.069,0.425
851,0.007,-0.01,0.076,0.201,0.235,9.791,-18.793,3.336,-92.509,0.901,-0.009,0.069,0.425
852,-0.029,0.001,-0.011,0.057,0.316,9.877,-19.399,5.103,-92.642,0.901,-0.009,0.068,0.425
853,0.027,-0.043,0.005,0.148,0.311,9.992,-19.673,5.439,-92.066,0.901,-0.009,0.068,0.425
854,0.008,-0.021,0.041,0.148,0.321,9.81,-19.345,3.522,-91.656,0.901,-0.009,0.068,0.425
855,0.035,-0.033,0.013,0.11,0.24,9.949,-19.364,4.317,-91.931,0.901,-0.009,0.068,0.425
856,0.009,0.001,0.074,0.192,0.364,9.844,-19.648,4.163,-91.8,0.9,-0.009,0.068,0.426
857,0.044,0.002,0.073,0.268,0.235,9.834,-18.777,3.345,-92.074,0.9,-0.008,0.068,0.426
858,0.002,0.028,0.024,0.153,0.378,9.891,-18.59,4.818,-90.444,0.9,-0.008,0.068,0.426
859,0.012,0.027,0.018,0.216,0.292,9.901,-18.59,4.818,-90.444,0.9,-0.008,0.069,0.426
860,0.014,0.004,0.051,0.287,0.216,10.011,-19.376,3.987,-92.373,0.9,-0.008,0.069,0.426
861,0.018,-0.051,-0.039,0.153,0.254,10.03,-19.69,4.623,-92.807,0.9,-0.008,0.068,0.426
862,0.081,0.005,0.07,0.211,0.23,9.877,-19.69,4.623,-92.807,0.9,-0.008,0.069,0.427
863,0.018,0.009,-0.026,0.115,0.192,9.958,-18.783,3.826,-92.065,0.9,-0.008,0.069,0.427
864,0,-0.005,-0.02,0.043,0.268,9.867,-19.248,4.137,-92.8,0.9,-0.008,0.069,0.426
865,0.003,0.018,-0.003,0.292,0.34,9.844,-19.203,3.357,-91.799,0.9,-0.008,0.069,0.426
866,0.041,-0.007,0.113,0.187,0.34,9.954,-18.827,5.413,-92.761,0.9,-0.008,0.069,0.427
867,-0.005,-0.04,0.075,0.216,0.311,9.867,-19.073,4.313,-91.921,0.9,-0.008,0.068,0.427
868,-0.025,0.006,-0.033,0.211,0.287,9.901,-18.818,4.612,-92.776,0.9,-0.008,0.068,0.427
869,-0.013,0.026,0.008,0.23,0.369,9.906,-17.771,4.778,-91.865,0.9,-0.008,0.068,0.427
870,-0.018,0.011,-0.035,0.101,0.311,9.82,-19.355,3.516,-91.946,0.9,-0.008,0.068,0.427
871,0.001,-0.036,0.037,0.211,0.225,9.877,-19.355,3.516,-91.946,0.9,-0.008,0.068,0.427
872,0.03,-0.019,0.019,0.177,0.45,10.059,-20.21,4.343,-91.237,0.9,-0.008,0.068,0.428
873,-0.039,-0.005,0.005,0.225,0.326,9.877,-18.776,4.152,-91.768,0.899,-0.008,0.068,0.428
874,-0.032,0.046,0.054,0.206,0.211,9.891,-18.776,4.152,-91.768,0.899,-0.008,0.068,0.428
875,-0.003,0.021,0.01,0.12,0.153,9.753,-19.231,4.953,-92.059,0.899,-0.009,0.068,0.428
876,-0.042,0.066,0.025,0.139,0.326,9.844,-18.331,5.764,-90.996,0.899,-0.009,0.068,0.428
877,0.053,0.002,0.027,0.196,0.278,9.987,-19.632,4.172,-91.364,0.899,-0.009,0.069,0.428
878,-0.03,0.014,0.001,0.172,0.206,9.867,-18.655,5.91,-91.875,0.899,-0.009,0.069,0.428
879,-0.004,0.047,-0.003,0.187,0.287,9.92,-19.37,4.797,-91.922,0.899,-0.009,0.069,0.428
880,-0.031,0.006,-0.018,0.244,0.278,9.92,-19.07,3.993,-91.927,0.899,-0.009,0.069,0.428
881,0.039,-0.004,0.05,0.206,0.216,9.978,-19.201,4.647,-91.339,0.899,-0.009,0.069,0.428
882,0.015,-0.023,0.015,0.206,0.225,9.853,-19.397,3.492,-93.108,0.899,-0.009,0.069,0.429
883,-0.033,0.022,0.017,0.187,0.374,9.867,-19.079,4.794,-91.912,0.899,-0.009,0.069,0.429
884,-0.044,0.012,0.041,0.283,0.201,9.944,-19.079,4.794,-91.912,0.899,-0.009,0.069,0.429
885,0.064,-0.02,0.076,0.129,0.307,9.92,-18.655,3.492,-92.646,0.899,-0.009,0.069,0.429
886,0.035,-0.009,0.004,0.101,0.259,9.863,-18.655,3.492,-92.646,0.899,-0.009,0.069,0.429
887,0,0.011,0.057,0.225,0.354,9.915,-19.205,4.968,-91.333,0.899,-0.009,0.069,0.43
888,-0.001,0.05,-0.001,0.182,0.34,9.796,-17.786,4.769,-92.3,0.898,-0.009,0.069,0.43
889,-0.007,0.014,-0.011,0.287,0.216,9.997,-18.66,3.972,-92.637,0.898,-0.009,0.069,0.43
890,0.039,-0.016,0.047,0.201,0.345,9.901,-19.851,5.099,-93.094,0.898,-0.009,0.069,0.43
891,-0.038,0.023,-0.029,0.287,0.225,9.824,-20.21,4.343,-91.237,0.898,-0.009,0.069,0.43
892,0.034,-0.019,0.026,0.254,0.326,9.776,-18.123,4.585,-93.62,0.898,-0.009,0.069,0.43
893,0.022,-0.075,0.019,0.201,0.206,9.954,-18.123,4.585,-93.62,0.898,-0.009,0.068,0.43
894,0.017,-0.005,0.012,0.139,0.378,9.925,-19.972,3.825,-92.833,0.898,-0.009,0.068,0.43
895,-0.045,0.015,-0.017,0.158,0.35,9.839,-19.606,4.187,-90.638,0.898,-0.009,0.068,0.43
896,-0.04,0.004,0.004,0.187,0.273,9.944,-19.606,4.187,-90.638,0.898,-0.009,0.068,0.43
897,0.057,-0.015,0.068,0.22,0.326,9.877,-18.158,5.133,-90.422,0.898,-0.009,0.068,0.43
898,-0.016,0.009,-0.013,0.211,0.302,9.939,-18.758,4.968,-91.027,0.898,-0.009,0.068,0.43
899,0.003,0.012,0.024,0.22,0.235,9.935,-18.668,5.58,-92.317,0.898,-0.009,0.068,0.43
900,0.006,0.019,0.029,0.307,0.263,9.954,-19.821,4.794,-92.374,0.898,-0.009,0.068,0.431
901,0.078,-0.004,0.06,0.067,0.513,9.973,-19.114,5.58,-92.623,0.898,-0.009,0.068,0.431
902,0.054,0.011,0.047,0.278,0.263,9.911,-18.315,3.355,-91.332,0.898,-0.009,0.069,0.431
903,0.038,0.018,-0.053,0.287,0.34,9.935,-18.38,5.414,-92.454,0.898,-0.008,0.069,0.431
904,0.055,0.029,-0.019,0.235,0.278,9.815,-19.928,4.656,-91.366,0.898,-0.008,0.069,0.431
905,0.044,-0.014,0.012,0.273,0.35,9.911,-18.34,4.147,-91.752,0.898,-0.008,0.069,0.431
906,0.148,-0.026,0.02,0.201,0.316,9.844,-18.34,4.147,-91.752,0.898,-0.007,0.069,0.431
907,0.153,-0.028,0,0.24,0.378,10.05,-19.961,3.831,-92.542,0.898,-0.007,0.069,0.431
908,0.084,0.005,-0.025,0.326,0.316,9.887,-19.961,3.831,-92.542,0.898,-0.006,0.069,0.431
909,0.077,-0.04,0.004,0.225,0.503,10.016,-20.259,3.992,-92.695,0.898,-0.006,0.069,0.431
910,0.104,-0.049,0.016,0.244,0.388,9.949,-18.371,4.613,-92.469,0.898,-0.005,0.069,0.431
911,0.031,0.021,0,0.216,0.508,9.896,-19.919,3.855,-91.381,0.898,-0.005,0.07,0.431
912,0.052,0.021,0.008,0.206,0.388,9.982,-18.786,4.63,-91.904,0.898,-0.005,0.07,0.431
913,0.08,0.018,0.046,0.22,0.474,9.958,-19.725,4.925,-93.672,0.898,-0.005,0.07,0.431
914,0.118,-0.038,0.037,0.206,0.441,9.944,-18.627,4.314,-91.615,0.898,-0.004,0.07,0.431
915,0.063,-0.004,-0.051,0.287,0.292,9.915,-18.617,4.803,-91.17,0.898,-0.004,0.07,0.431
916,0.138,-0.028,-0.015,0.297,0.311,9.891,-17.446,2.697,-91.603,0.898,-0.003,0.07,0.431
917,0.14,-0.034,0.016,0.34,0.46,9.92,-19.653,4.644,-91.791,0.898,-0.003,0.07,0.431
918,0.094,0.009,0.05,0.163,0.719,9.863,-19.653,4.644,-91.791,0.898,-0.002,0.071,0.431
919,0.071,0.003,-0.026,0.148,0.637,9.872,-19.044,4.008,-91.201,0.898,-0.002,0.071,0.431
920,0.079,-0.03,0.003,0.158,0.627,10.054,-19.044,4.008,-91.201,0.898,-0.001,0.071,0.431
921,0.055,0.024,-0.055,0.331,0.637,9.915,-19.095,4.785,-92.347,0.898,-0.001,0.071,0.431
922,0.008,0.03,0.008,0.283,0.517,9.901,-20.005,5.418,-93.238,0.898,-0.001,0.071,0.431
923,-0.014,0.002,0.052,0.201,0.68,10.059,-19.234,3.822,-92.516,0.897,-0.001,0.071,0.431
924,0.006,0.017,-0.015,0.292,0.599,9.815,-19.168,4.989,-90.317,0.897,-0.001,0.071,0.431
925,0.049,-0.051,0.034,0.158,0.589,9.81,-19.918,4.662,-91.075,0.897,-0.001,0.071,0.432
926,0.024,-0.029,0.027,0.263,0.527,10.006,-19.279,5.409,-93.212,0.897,-0.001,0.071,0.432
927,-0.003,-0.006,0.083,0.273,0.489,9.911,-18.349,4.948,-91.737,0.897,-0.001,0.071,0.432
928,-0.053,0.06,0.019,0.259,0.56,9.906,-19.279,5.409,-93.212,0.897,-0.001,0.071,0.432
929,-0.058,-0.003,-0.007,0.187,0.455,9.93,-18.739,4.657,-90.598,0.897,-0.002,0.071,0.432
930,-0.013,-0.052,-0.005,0.268,0.407,9.853,-18.739,4.657,-90.598,0.897,-0.002,0.071,0.432
931,-0.006,-0.013,0.005,0.12,0.388,9.944,-19.851,5.099,-93.094,0.897,-0.002,0.071,0.432
932,0.016,-0.006,0.026,0.206,0.479,9.935,-19.851,5.099,-93.094,0.897,-0.002,0.071,0.432
933,-0.083,0.063,0.001,0.278,0.479,9.978,-19.228,4.632,-92.065,0.897,-0.002,0.071,0.433
934,-0.061,0.014,-0.095,0.407,0.441,9.81,-19.237,5.433,-92.05,0.897,-0.003,0.071,0.432
935,-0.017,-0.029,-0.016,0.192,0.541,9.93,-19.081,5.921,-91.6,0.897,-0.003,0.071,0.432
936,0.025,-0.021,0.009,0.211,0.498,9.824,-18.676,3.963,-93.073,0.897,-0.003,0.071,0.432
937,-0.078,0.043,-0.052,0.172,0.556,9.863,-20.826,4.652,-92.123,0.897,-0.003,0.071,0.432
938,-0.06,-0.045,-0.115,0.35,0.196,9.872,-19.636,5.46,-91.05,0.897,-0.003,0.07,0.432
939,-0.137,0.011,-0.349,0.311,0.92,9.93,-20.394,4.967,-92.101,0.898,-0.004,0.07,0.43
940,-0.145,-0.009,-0.855,0.081,1.054,9.963,-19.699,5.424,-92.792,0.9,-0.005,0.07,0.426
941,-0.139,-0.05,-1.224,0.331,0.757,9.911,-20.382,6.264,-91.351,0.903,-0.006,0.069,0.421
942,-0.094,-0.051,-1.654,0.153,0.364,10.169,-20.382,6.264,-91.351,0.906,-0.007,0.069,0.414
943,-0.108,-0.022,-2.014,0.35,0.163,9.796,-18.65,3.978,-92.347,0.91,-0.008,0.068,0.404
944,-0.116,-0.125,-2.387,0.067,0.771,9.839,-18.65,3.978,-92.347,0.915,-0.009,0.068,0.394
945,-0.117,-0.099,-2.725,0.048,0.053,9.7,-18.671,5.901,-92.311,0.92,-0.01,0.067,0.381
946,-0.156,-0.117,-2.887,0.034,-0.101,10.141,-18.226,5.094,-92.31,0.926,-0.012,0.066,0.368
947,-0.146,-0.177,-3.221,-0.479,0.92,10.03,-19.265,6.546,-92.465,0.931,-0.013,0.065,0.353
948,-0.113,-0.251,-3.358,-0.115,1.648,9.753,-17.217,5.399,-92.412,0.937,-0.014,0.063,0.338
949,-0.171,-0.201,-3.673,-0.048,1.015,10.05,-16.073,6.987,-92.34,0.943,-0.016,0.062,0.32
950,-0.137,-0.139,-3.958,-0.125,0.613,9.973,-16.37,7.148,-92.493,0.95,-0.017,0.061,0.302
951,-0.128,-0.167,-4.146,0.321,-0.144,9.82,-16.141,6.948,-94.228,0.956,-0.019,0.059,0.282
952,-0.139,-0.113,-4.202,0.484,-0.321,10.097,-17.09,7.483,-92.223,0.961,-0.021,0.058,0.262
953,-0.051,-0.177,-3.86,0.287,-0.206,9.824,-15.339,7.788,-91.864,0.966,-0.022,0.056,0.243
954,-0.052,-0.196,-4.155,-0.738,0.422,10.174,-15.339,7.788,-91.864,0.971,-0.023,0.055,0.223
955,-0.047,-0.223,-4.366,0.038,1.681,9.681,-14.477,7.287,-92.277,0.976,-0.024,0.053,0.202
956,0.011,-0.276,-4.366,0.69,1.169,9.681,-12.123,6.146,-91.778,0.98,-0.024,0.051,0.181
957,-0.011,-0.227,-4.366,1.375,-0.287,10.069,-13.145,7.93,-91.346,0.984,-0.025,0.049,0.159
958,0.039,-0.24,-4.366,2.299,0.968,9.508,-11.987,5.011,-92.375,0.987,-0.026,0.047,0.138
959,-0.2,-0.267,-4.366,0.704,0.742,10.39,-9.203,6.279,-91.234,0.99,-0.027,0.045,0.117
960,0.252,-0.215,-4.146,0.35,1.322,10.452,-9.819,5.622,-92.429,0.992,-0.026,0.043,0.096
961,-0.055,-0.206,-4.364,-0.584,1.106,9.757,-7.204,6.233,-92.177,0.994,-0.027,0.041,0.074
962,-0.239,-0.237,-4.366,1.092,2.156,9.336,-8.49,6.585,-91.493,0.996,-0.028,0.039,0.053
963,-0.148,-0.258,-4.366,0.331,0.441,9.982,-6.92,5.42,-92.617,0.997,-0.03,0.037,0.031
964,-0.235,-0.273,-4.366,2.582,1.959,9.527,-6.92,5.42,-92.617,0.997,-0.031,0.034,0.009
965,-0.283,-0.23,-4.366,2.524,1.825,7.99,-5.446,4.446,-92.293,0.997,-0.032,0.031,-0.012
966,-0.393,0.095,-4.366,2.007,3.137,9.369,-5.439,4.773,-91.996,0.997,-0.034,0.03,-0.034
967,-0.311,-0.209,-4.366,0.699,-0.584,9.848,-4.71,3.636,-92.281,0.996,-0.036,0.028,-0.056
968,-0.316,-0.183,-4.174,-0.086,-0.321,9.863,-4.064,3.021,-90.675,0.994,-0.038,0.027,-0.076
969,-0.295,-0.072,-3.529,0.354,-0.489,9.844,-2.935,1.375,-92.115,0.993,-0.04,0.026,-0.094
970,-0.176,-0.097,-2.835,0.105,-1.145,9.772,-2.344,2.341,-91.495,0.991,-0.041,0.025,-0.108
971,-0.066,-0.086,-2.031,-0.144,-0.513,9.944,-1.704,1.4,-90.185,0.99,-0.042,0.024,-0.118
972,0.025,-0.079,-1.154,0.057,-0.647,10.169,-2.45,1.72,-90.641,0.989,-0.042,0.023,-0.124
973,0.011,0.006,-0.537,0.402,0.177,9.896,-1.746,1.376,-91.347,0.989,-0.041,0.023,-0.126
974,0.012,-0.024,-0.124,0.268,0.46,9.791,-1.746,1.376,-91.347,0.989,-0.041,0.023,-0.127
975,-0.029,0.024,0.014,0.115,0.316,9.954,-2.003,-0.697,-91.106,0.989,-0.04,0.023,-0.127
976,-0.02,0.005,-0.014,0.057,0.287,9.839,-2.003,-0.697,-91.106,0.989,-0.04,0.023,-0.127
977,-0.09,-0.001,0.041,0.12,0.254,9.853,-1.397,0.438,-90.048,0.989,-0.04,0.023,-0.127
978,-0.056,0.026,0.03,0.01,0.201,9.935,-2.289,0.76,-90.509,0.989,-0.04,0.023,-0.127
979,-0.008,0.011,0.018,-0.024,0.115,9.839,-1.706,2.527,-89.874,0.989,-0.04,0.024,-0.126
980,-0.01,0.039,-0.061,0.067,0.139,9.911,-3.12,-0.979,-89.993,0.989,-0.039,0.024,-0.127
981,0.185,-0.154,0.047,0.043,-0.417,9.412,-0.671,0.429,-90.022,0.989,-0.038,0.023,-0.127
982,-0.098,0.007,-0.006,0.081,0.369,9.92,-1.695,0.599,-90.2,0.989,-0.038,0.023,-0.127
983,-0.03,0.041,-0.056,0.067,0.168,9.968,-2.45,-0.698,-91.412,0.989,-0.038,0.023,-0.127
984,-0.068,0.003,0.019,0.081,0.206,10.045,-2.602,0.428,-91.251,0.989,-0.038,0.023,-0.127
985,-0.026,-0.007,0.022,0.062,0.311,10.026,-1.854,-0.052,-90.799,0.989,-0.037,0.023,-0.127
986,-0.091,0.045,0.014,0.077,0.302,9.901,-2.851,0.939,-89.946,0.989,-0.037,0.024,-0.127
987,-0.073,-0.019,-0.019,0.134,0.196,9.882,-1.397,0.438,-90.048,0.989,-0.037,0.023,-0.127
988,-0.025,0.009,-0.059,0.077,0.177,9.839,-1.397,0.438,-90.048,0.989,-0.037,0.023,-0.127
989,-0.02,-0.029,-0.013,-0.024,0.134,9.997,-1.704,1.4,-90.185,0.989,-0.037,0.023,-0.127
990,0.059,-0.003,-0.005,0.062,0.11,9.887,-2.402,-0.187,-89.951,0.989,-0.036,0.023,-0.127
991,0.071,-0.032,0.041,0.077,0.196,9.887,-1.415,2.04,-90.018,0.989,-0.036,0.023,-0.127
992,0.028,-0.02,-0.003,0.043,0.278,10.035,-1.702,-0.211,-90.651,0.989,-0.035,0.023,-0.127
993,-0.006,0.063,0.006,-0.11,0.153,9.757,-1.833,0.443,-90.064,0.989,-0.035,0.023,-0.127
994,0.037,-0.043,0.031,-0.014,0.072,9.935,-0.858,0.89,-91.034,0.989,-0.034,0.023,-0.127
995,-0.01,-0.012,-0.006,0.081,0.283,9.872,-1.679,0.124,-89.919,0.989,-0.034,0.023,-0.127
996,0.009,-0.061,0.057,-0.062,0.268,9.978,-1.673,0.934,-89.468,0.989,-0.034,0.023,-0.127
997,0.023,0.062,-0.01,0.196,0.177,10.03,-1.655,-0.668,-89.498,0.989,-0.033,0.023,-0.127
998,0.056,-0.013,0.054,0.029,0.225,10.04,-1.655,-0.668,-89.498,0.989,-0.032,0.023,-0.126
999,0.054,0.002,0.019,0.034,0.23,9.954,-1.133,0.419,-90.763,0.99,-0.032,0.023,-0.126
1000,0.041,-0.033,-0.008,0.067,0.249,9.93,-0.833,0.098,-90.614,0.99,-0.031,0.022,-0.126
1001,-0.013,0.009,-0.023,-0.01,0.216,9.896,-0.833,0.098,-90.614,0.99,-0.031,0.022,-0.126
1002,0.007,0.053,-0.009,0.201,0.23,9.896,-1.741,0.895,-91.356,0.99,-0.031,0.023,-0.126
1003,0.08,-0.007,0.07,0.105,0.283,9.963,-1.293,2.186,-90.59,0.99,-0.03,0.022,-0.126
1004,0,-0.051,0.026,0.144,0.192,9.92,-1.833,0.443,-90.064,0.99,-0.03,0.022,-0.126
1005,-0.007,0.029,0.006,-0.019,0.115,10.035,-1.884,1.22,-91.21,0.99,-0.029,0.022,-0.126
1006,0.039,-0.064,0.039,0.144,0.172,9.968,-0.238,0.744,-90,0.99,-0.029,0.022,-0.126
1007,0.051,-0.035,0.034,-0.005,0.072,9.776,-1.387,0.444,-89.757,0.99,-0.028,0.022,-0.126
1008,0.016,-0.01,-0.003,0.086,0.297,9.887,-1.845,2.372,-89.737,0.99,-0.028,0.021,-0.126
1009,-0.025,0.03,-0.004,-0.029,0.244,9.915,-1.452,1.535,-91.188,0.99,-0.028,0.022,-0.126
1010,-0.057,-0.001,0.046,0.029,0.144,9.858,-1.863,0.749,-90.784,0.99,-0.028,0.022,-0.125
1011,-0.049,0,0.024,0.072,0.168,9.939,-1.863,0.749,-90.784,0.99,-0.028,0.022,-0.125
1012,-0.018,0.026,-0.058,0.057,0.254,9.935,-2.028,0.578,-91.373,0.99,-0.028,0.022,-0.126
1013,0,0.027,-0.013,0.091,0.259,9.901,-2.028,0.578,-91.373,0.99,-0.027,0.022,-0.126
1014,0.02,-0.052,0.026,-0.034,0.196,9.925,-1.278,0.905,-90.614,0.99,-0.027,0.021,-0.126
1015,0.043,0,0.038,-0.048,0.263,9.973,-1.998,1.724,-90.19,0.99,-0.026,0.021,-0.125
1016,0.029,-0.001,-0.001,0.019,0.297,9.891,-2.991,-0.023,-90.115,0.99,-0.026,0.021,-0.125
1017,-0.02,0.007,0.024,0.091,0.081,9.911,-0.287,0.393,-91.458,0.99,-0.026,0.021,-0.125
1018,0.006,-0.014,0.016,0.038,0.297,10.016,-1.305,0.89,-91.34,0.99,-0.025,0.021,-0.125
1019,-0.004,-0.019,0.06,0.086,0.201,9.887,-1.252,0.92,-89.888,0.99,-0.025,0.021,-0.125
1020,0.027,-0.04,-0.004,0.158,0.244,9.935,-1.252,0.92,-89.888,0.99,-0.025,0.021,-0.125
1021,0.024,0.056,-0.018,-0.048,0.144,9.935,0.329,0.084,-90.572,0.99,-0.024,0.021,-0.125
1022,-0.003,-0.006,-0.01,0.062,0.172,9.935,-0.403,0.573,-90.589,0.99,-0.024,0.021,-0.125
1023,0.035,0.027,0.004,0.029,0.172,9.882,-0.403,0.573,-90.589,0.99,-0.024,0.021,-0.125
1024,-0.009,0.044,0.001,0.115,0.192,9.906,-0.138,0.555,-91.304,0.99,-0.023,0.021,-0.125
1025,-0.024,0.053,-0.008,0.062,0.177,10.035,-1.142,1.22,-90.748,0.99,-0.023,0.021,-0.125
1026,-0.015,0.035,-0.042,0.067,0.11,9.935,-0.422,0.885,-91.018,0.99,-0.023,0.021,-0.125
1027,-0.04,0.03,-0.025,0.081,0.139,10.021,-0.788,-0.198,-89.458,0.99,-0.023,0.021,-0.125
1028,-0.003,0.012,-0.032,0.139,0.148,10.006,-2.012,0.104,-91.091,0.99,-0.023,0.021,-0.126
1029,-0.026,0.011,0.006,-0.029,0.326,9.82,-2.022,0.098,-91.382,0.99,-0.023,0.021,-0.126
1030,-0.005,0.013,0.029,0.01,0.144,10.102,-0.697,0.414,-90.748,0.99,-0.022,0.021,-0.125
1031,0.018,-0.001,0.042,0.053,0.206,9.944,-1.816,1.259,-89.323,0.99,-0.022,0.021,-0.125
1032,-0.004,0.022,-0.004,0.077,0.206,9.939,-0.71,1.535,-90.727,0.99,-0.022,0.021,-0.125
1033,0.012,-0.002,0.031,0.024,0.302,9.963,-0.71,1.535,-90.727,0.99,-0.022,0.021,-0.125
1034,-0.024,0.03,-0.027,0.048,0.144,9.911,-2.448,0.109,-91.107,0.99,-0.022,0.021,-0.125
1035,-0.019,0.006,-0.028,0.125,0.254,9.829,-2.448,0.109,-91.107,0.99,-0.021,0.021,-0.125
1036,0.023,-0.021,0.046,0.153,0.172,9.92,0.798,0.903,-89.379,0.99,-0.021,0.021,-0.125
1037,0.018,-0.007,0.033,0.086,0.115,9.939,-1.397,0.438,-90.048,0.99,-0.021,0.021,-0.125
1038,-0.028,0.007,0.007,0.053,0.187,10.016,-1.384,1.574,-89.301,0.99,-0.021,0.021,-0.125
1039,0.034,-0.042,0.093,0.067,0.139,9.891,-1.728,-0.226,-91.377,0.99,-0.02,0.021,-0.124
1040,0.025,-0.017,0.043,-0.096,0.187,9.887,-1.371,0.453,-89.322,0.99,-0.02,0.021,-0.124
1041,0.026,-0.017,0.041,0.091,0.086,9.939,-1.653,0.139,-89.193,0.99,-0.02,0.02,-0.124
1042,0.019,-0.006,0.047,0.091,0.292,9.839,-1.172,1.526,-91.468,0.99,-0.019,0.02,-0.124
1043,-0.006,-0.003,-0.016,-0.048,0.196,9.872,-0.674,0.749,-90.016,0.99,-0.019,0.02,-0.124
1044,0.021,0.003,0.049,0.148,0.206,9.958,-0.674,0.749,-90.016,0.99,-0.019,0.02,-0.124
1045,-0.06,0.026,-0.019,0.038,0.211,9.93,-1.406,1.239,-90.033,0.99,-0.019,0.02,-0.124
1046,0.024,-0.024,0.006,0.005,0.22,9.882,-1.86,0.428,-90.79,0.99,-0.019,0.02,-0.124
1047,0.026,0.025,0.031,0.086,0.091,9.848,-1.86,0.428,-90.79,0.99,-0.018,0.02,-0.124
1048,0.054,-0.044,-0.01,0.067,0.168,9.997,0.212,0.424,-89.7,0.99,-0.018,0.02,-0.124
1049,0.024,0.011,0.031,0.11,0.244,9.781,-0.28,0.72,-91.161,0.99,-0.017,0.02,-0.123
1050,0.003,-0.035,0.027,-0.029,0.235,9.858,0.303,0.069,-91.298,0.99,-0.017,0.019,-0.123
1051,0.009,0.018,0.029,0.038,0.254,9.949,-0.76,0.624,-88.427,0.99,-0.017,0.019,-0.123
1052,-0.019,0.022,0.022,0.053,0.187,9.882,-0.105,1.38,-90.128,0.99,-0.017,0.019,-0.123
1053,0.02,-0.002,-0.026,0.134,0.311,9.844,-0.668,-1.182,-90.487,0.99,-0.017,0.019,-0.123
1054,-0.01,-0.004,0.016,0.105,0.091,9.872,-1.802,-0.022,-89.347,0.99,-0.016,0.019,-0.123
1055,0.027,-0.025,0.039,0.101,0.177,9.757,-0.692,-0.067,-90.757,0.99,-0.016,0.019,-0.123
