gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q2,q3
-0.089,0.058,-0.033,0.091,9.762,-0.513,-9.3,-25.65,-4.73,0.609,0.559,0.273,0.489
-0.07,0.049,0.011,-0.005,9.69,-0.369,-10.05,-25.2,-6.38,0.609,0.558,0.273,0.489
-0.088,0.062,-0.012,-0.057,9.666,-0.517,-9.6,-25.65,-6.68,0.609,0.558,0.273,0.489
-0.144,0.03,-0.022,-0.048,9.642,-0.719,-9.6,-25.65,-6.68,0.609,0.558,0.273,0.489
-0.145,-0.003,0.0,0.014,9.69,-0.493,-10.5,-25.2,-7.88,0.61,0.557,0.273,0.49
-0.219,0.055,-0.012,-0.057,9.719,-0.393,-10.2,-23.85,-6.08,0.61,0.557,0.272,0.49
-0.179,0.053,0.008,-0.029,9.729,-0.498,-10.65,-25.8,-6.83,0.61,0.556,0.272,0.49
-0.048,-0.02,0.022,0.005,9.719,-0.283,-8.85,-25.95,-6.38,0.61,0.557,0.272,0.49
-0.087,-0.053,0.046,-0.139,9.604,-0.551,-10.5,-24.45,-7.43,0.61,0.557,0.272,0.49
-0.019,-0.021,0.02,-0.01,9.748,-0.292,-11.1,-25.05,-5.33,0.61,0.557,0.272,0.49
-0.026,-0.056,0.052,-0.12,9.657,-0.244,-10.5,-25.2,-7.88,0.61,0.557,0.271,0.49
-0.06,0.073,0.0,-0.067,9.791,-0.364,-9.6,-24.45,-7.88,0.61,0.557,0.272,0.491
-0.036,0.052,-0.018,0.062,9.753,-0.292,-9.6,-24.45,-7.88,0.61,0.557,0.272,0.491
0.019,-0.048,0.025,0.005,9.762,-0.541,-11.85,-26.1,-6.83,0.61,0.557,0.272,0.491
0.032,-0.019,0.011,0.096,9.796,-0.436,-10.8,-26.7,-6.68,0.61,0.557,0.272,0.49
-0.072,0.042,-0.0,0.101,9.762,-0.436,-10.2,-25.35,-7.58,0.61,0.557,0.272,0.491
0.009,-0.022,-0.026,-0.014,9.753,-0.278,-11.25,-25.95,-8.93,0.61,0.557,0.272,0.491
-0.065,0.042,-0.027,-0.096,9.748,-0.393,-11.1,-25.35,-7.28,0.61,0.557,0.272,0.491
-0.078,0.069,0.013,-0.024,9.638,-0.259,-10.65,-24.6,-7.28,0.61,0.557,0.272,0.491
-0.021,-0.042,0.036,-0.053,9.743,-0.407,-10.65,-24.6,-7.28,0.61,0.557,0.272,0.491
-0.078,0.034,0.028,-0.005,9.829,-0.287,-9.0,-26.1,-9.08,0.61,0.557,0.272,0.491
-0.006,-0.013,0.003,-0.091,9.81,-0.369,-10.65,-24.3,-7.58,0.61,0.557,0.272,0.491
0.001,0.01,0.025,-0.057,9.753,-0.292,-10.5,-24.9,-7.43,0.609,0.557,0.272,0.491
-0.021,-0.017,0.029,-0.024,9.824,-0.398,-9.3,-25.65,-7.43,0.609,0.557,0.272,0.491
-0.088,0.033,-0.035,-0.062,9.757,-0.283,-9.3,-25.95,-7.43,0.61,0.557,0.272,0.491
-0.032,-0.083,0.036,-0.01,9.762,-0.292,-10.65,-25.8,-6.53,0.609,0.557,0.272,0.491
-0.053,0.063,-0.035,-0.029,9.69,-0.244,-10.65,-25.8,-6.53,0.609,0.557,0.272,0.491
-0.068,0.072,-0.036,-0.12,9.719,-0.278,-9.9,-25.8,-6.83,0.61,0.557,0.272,0.491
-0.007,-0.003,-0.021,-0.038,9.839,-0.407,-9.9,-25.8,-6.83,0.609,0.557,0.272,0.491
-0.09,0.05,0.015,-0.129,9.618,-0.287,-9.45,-26.1,-6.53,0.609,0.556,0.273,0.491
-0.049,-0.031,0.047,-0.081,9.781,-0.388,-10.5,-26.25,-7.43,0.609,0.557,0.272,0.491
-0.095,0.079,0.014,-0.091,9.762,-0.278,-10.5,-24.45,-6.38,0.609,0.556,0.272,0.492
-0.032,0.01,0.053,-0.077,9.719,-0.302,-10.5,-26.25,-7.13,0.609,0.556,0.272,0.492
-0.044,0.052,-0.003,-0.101,9.695,-0.316,-9.45,-25.35,-7.58,0.609,0.556,0.273,0.492
-0.009,-0.005,0.031,-0.024,9.709,-0.263,-10.8,-25.2,-5.93,0.609,0.556,0.272,0.492
-0.02,-0.064,0.0,-0.105,9.877,-0.331,-10.8,-25.2,-5.93,0.609,0.557,0.272,0.492
-0.023,0.021,0.009,-0.206,9.757,-0.263,-9.3,-24.9,-6.68,0.609,0.557,0.273,0.492
-0.046,0.058,-0.026,0.038,9.671,-0.34,-10.05,-24.9,-7.43,0.609,0.557,0.273,0.492
0.014,-0.045,0.034,-0.034,9.743,-0.359,-9.3,-26.25,-8.18,0.609,0.557,0.273,0.492
0.026,-0.024,0.011,-0.081,9.676,-0.369,-10.05,-25.65,-5.93,0.608,0.557,0.273,0.491
0.023,-0.029,0.013,0.057,9.8,-0.283,-10.2,-23.85,-7.28,0.608,0.557,0.273,0.491
0.02,-0.01,0.036,0.038,9.7,-0.426,-10.2,-25.35,-6.08,0.608,0.558,0.273,0.491
-0.024,0.034,0.006,-0.192,9.762,-0.278,-9.3,-25.65,-6.68,0.608,0.558,0.273,0.491
0.001,0.004,0.023,-0.029,9.781,-0.249,-9.0,-25.35,-7.28,0.608,0.558,0.273,0.491
-0.05,0.015,-0.007,0.038,9.805,-0.331,-10.5,-26.25,-5.48,0.608,0.558,0.273,0.491
0.027,-0.017,0.017,0.057,9.738,-0.287,-10.5,-26.25,-5.48,0.607,0.558,0.274,0.491
-0.096,0.058,-0.038,-0.072,9.781,-0.326,-10.8,-26.7,-6.68,0.608,0.558,0.274,0.491
-0.057,0.046,0.016,-0.11,9.714,-0.292,-9.45,-25.05,-7.28,0.608,0.558,0.274,0.491
-0.039,-0.046,0.018,0.01,9.786,-0.283,-10.05,-26.7,-8.18,0.608,0.558,0.274,0.491
-0.02,-0.025,0.007,-0.062,9.724,-0.254,-9.45,-25.8,-6.83,0.608,0.558,0.274,0.491
-0.046,0.046,-0.04,-0.034,9.791,-0.22,-10.8,-24.45,-7.13,0.608,0.558,0.274,0.491
-0.031,0.082,-0.031,-0.105,9.767,-0.302,-11.85,-26.55,-8.03,0.608,0.558,0.274,0.491
0.004,0.009,0.012,0.029,9.834,-0.326,-11.85,-26.55,-8.03,0.607,0.558,0.274,0.491
-0.048,0.06,-0.034,-0.125,9.829,-0.311,-9.9,-24.6,-7.28,0.607,0.557,0.274,0.492
-0.03,-0.013,0.027,-0.148,9.757,-0.268,-9.9,-24.6,-7.28,0.607,0.557,0.274,0.492
-0.029,-0.017,0.038,0.0,9.642,-0.235,-10.5,-24.9,-6.38,0.607,0.558,0.274,0.492
-0.031,0.067,0.002,-0.12,9.839,-0.249,-11.1,-25.8,-8.03,0.607,0.557,0.274,0.492
0.001,-0.034,-0.003,0.125,9.743,-0.331,-10.65,-25.35,-7.58,0.607,0.558,0.274,0.492
-0.021,0.067,-0.0,0.038,9.685,-0.211,-9.9,-26.1,-6.53,0.607,0.557,0.275,0.492
-0.003,0.002,0.071,-0.129,9.791,-0.359,-9.0,-25.8,-7.28,0.607,0.558,0.275,0.492
-0.071,0.084,-0.027,-0.067,9.767,-0.278,-10.5,-25.65,-7.43,0.607,0.557,0.275,0.492
-0.086,-0.031,0.065,-0.086,9.887,-0.479,-10.5,-25.65,-7.43,0.607,0.557,0.274,0.492
-0.07,0.004,0.03,-0.101,9.791,-0.12,-8.7,-25.35,-8.03,0.607,0.557,0.274,0.492
-0.086,0.005,0.03,0.029,9.848,-0.292,-9.3,-24.45,-7.43,0.607,0.557,0.274,0.493
-0.142,0.016,0.002,-0.053,9.714,-0.393,-10.8,-24.9,-7.43,0.607,0.557,0.274,0.493
-0.077,-0.053,0.077,0.014,9.772,-0.134,-10.8,-26.7,-7.43,0.607,0.557,0.274,0.493
-0.085,0.006,0.003,-0.086,9.757,-0.244,-9.3,-25.2,-6.68,0.607,0.557,0.274,0.493
-0.189,0.029,0.011,0.019,9.82,-0.445,-10.8,-26.25,-8.18,0.608,0.556,0.273,0.493
-0.27,-0.016,0.049,-0.086,9.709,-0.311,-12.0,-24.45,-6.68,0.608,0.556,0.272,0.494
-0.222,0.097,-0.083,-0.01,9.8,-0.182,-10.05,-25.2,-7.43,0.609,0.555,0.272,0.494
-0.311,0.049,0.025,0.11,9.776,-0.287,-10.05,-24.9,-6.68,0.609,0.554,0.272,0.495
-0.367,0.034,-0.005,-0.01,9.796,-0.005,-10.05,-24.9,-6.68,0.61,0.553,0.271,0.495
-0.258,-0.004,0.051,-0.029,9.7,0.086,-10.65,-25.35,-8.78,0.611,0.552,0.27,0.496
-0.381,0.013,-0.061,-0.005,9.853,-0.014,-9.45,-26.1,-7.58,0.612,0.551,0.27,0.496
-0.36,0.053,0.011,-0.019,9.791,0.139,-10.5,-25.65,-7.43,0.613,0.55,0.269,0.497
-0.292,0.064,-0.027,-0.01,9.753,0.206,-10.2,-25.35,-9.08,0.614,0.549,0.269,0.497
-0.339,-0.012,0.008,-0.062,9.705,0.053,-10.8,-25.2,-9.68,0.614,0.547,0.268,0.498
-0.366,0.035,0.006,-0.043,9.757,0.086,-10.8,-25.2,-9.68,0.615,0.546,0.267,0.498
-0.451,-0.012,0.059,0.01,9.733,0.115,-10.5,-24.15,-8.18,0.616,0.545,0.266,0.499
-0.464,-0.013,0.016,-0.005,9.714,0.249,-9.6,-25.2,-8.63,0.618,0.544,0.265,0.5
-0.595,0.068,-0.014,-0.081,9.647,0.331,-9.6,-25.2,-8.63,0.619,0.542,0.263,0.5
-0.618,0.066,-0.022,-0.057,9.844,0.192,-10.8,-25.2,-9.68,0.621,0.54,0.262,0.501
-0.549,-0.027,0.031,-0.019,9.705,0.584,-10.2,-26.1,-8.33,0.622,0.538,0.261,0.502
-0.671,0.06,-0.018,-0.11,9.719,0.565,-10.05,-24.15,-8.63,0.624,0.536,0.259,0.503
-0.528,0.016,0.065,-0.029,9.729,0.757,-9.3,-25.65,-11.63,0.625,0.534,0.258,0.504
-0.525,0.037,-0.045,-0.067,9.748,0.699,-9.6,-24.9,-11.63,0.627,0.532,0.257,0.505
-0.393,-0.034,0.05,-0.168,9.685,0.68,-8.85,-24.45,-9.38,0.628,0.531,0.256,0.505
-0.503,-0.027,0.019,-0.053,9.685,0.714,-8.85,-24.45,-9.38,0.629,0.53,0.255,0.506
-0.569,0.06,-0.048,-0.158,9.647,0.661,-10.2,-23.55,-11.78,0.63,0.528,0.254,0.506
-0.65,0.051,-0.026,0.077,9.695,1.006,-9.6,-23.7,-11.63,0.632,0.525,0.252,0.507
-0.696,0.028,-0.005,-0.019,9.791,0.728,-10.65,-24.3,-8.78,0.634,0.523,0.251,0.508
-0.571,-0.003,0.059,-0.105,9.618,1.039,-10.65,-25.65,-11.18,0.635,0.521,0.249,0.509
-0.663,0.028,0.004,0.053,9.657,1.217,-9.0,-23.55,-11.03,0.637,0.519,0.247,0.51
-0.637,0.061,-0.025,-0.086,9.628,1.581,-8.7,-23.1,-11.78,0.639,0.517,0.246,0.511
-0.559,0.006,0.001,-0.105,9.776,0.992,-8.7,-23.1,-11.78,0.64,0.515,0.245,0.512
-0.699,-0.009,0.05,-0.081,9.647,1.437,-10.5,-24.15,-11.63,0.642,0.513,0.243,0.513
-0.703,0.062,0.012,-0.081,9.652,1.48,-9.6,-24.45,-10.88,0.643,0.51,0.241,0.514
-0.653,0.065,-0.004,0.024,9.657,1.605,-10.5,-24.15,-11.63,0.645,0.508,0.24,0.515
-0.514,-0.017,0.028,-0.019,9.671,1.897,-9.45,-23.1,-11.03,0.646,0.506,0.238,0.515
-0.554,-0.006,0.003,-0.158,9.609,1.595,-10.65,-24.3,-13.28,0.648,0.505,0.237,0.516
-0.782,0.029,-0.02,-0.014,9.633,1.643,-8.4,-22.95,-13.88,0.65,0.502,0.235,0.517
-0.744,0.076,-0.038,-0.105,9.542,1.758,-9.3,-24.15,-12.68,0.652,0.499,0.234,0.518
-0.919,-0.011,0.063,-0.024,9.638,1.753,-9.45,-21.6,-12.98,0.654,0.496,0.231,0.519
-0.999,0.073,-0.045,-0.105,9.494,2.141,-10.8,-21.45,-14.18,0.656,0.492,0.229,0.521
-0.966,0.046,-0.088,-0.01,9.566,2.031,-10.8,-21.45,-14.18,0.659,0.489,0.226,0.522
-0.939,-0.038,0.032,-0.024,9.551,2.132,-9.9,-23.1,-14.03,0.661,0.486,0.224,0.523
-0.879,0.093,-0.032,0.014,9.408,2.338,-10.65,-22.35,-13.28,0.663,0.482,0.222,0.524
-0.961,0.065,-0.064,-0.048,9.384,2.352,-9.3,-22.65,-14.18,0.666,0.479,0.22,0.525
-0.982,0.004,0.067,-0.005,9.388,2.649,-9.9,-22.35,-12.98,0.668,0.476,0.217,0.526
-0.944,0.043,0.019,-0.12,9.365,2.836,-9.3,-21.9,-14.18,0.67,0.472,0.214,0.528
-0.846,0.004,0.062,-0.043,9.374,2.831,-10.8,-21.45,-15.68,0.672,0.469,0.212,0.529
-0.869,0.004,0.084,-0.067,9.336,3.08,-10.8,-21.45,-15.68,0.674,0.466,0.209,0.53
-1.002,0.027,-0.031,0.0,9.187,2.989,-11.1,-20.85,-15.53,0.676,0.463,0.207,0.532
-1.065,0.023,0.033,-0.101,9.278,3.075,-9.9,-21.6,-15.53,0.679,0.459,0.204,0.533
-1.185,0.052,-0.081,0.0,9.163,3.166,-9.3,-21.9,-14.18,0.682,0.454,0.201,0.534
-1.234,0.029,-0.03,-0.081,9.135,3.209,-9.6,-19.95,-16.13,0.685,0.45,0.198,0.535
-1.186,0.406,0.272,-0.158,8.852,3.717,-10.05,-21.9,-15.38,0.686,0.445,0.195,0.538
-1.183,0.219,0.047,-0.053,8.977,3.789,-10.05,-20.4,-16.13,0.688,0.44,0.193,0.54
-1.097,0.349,0.09,0.867,10.097,1.926,-10.65,-20.1,-17.03,0.69,0.436,0.191,0.542
-1.202,0.238,0.128,0.374,9.178,3.334,-9.0,-19.8,-16.28,0.692,0.431,0.188,0.544
-1.39,0.488,0.414,-1.054,7.942,4.622,-9.0,-19.8,-16.28,0.694,0.425,0.185,0.548
-1.226,0.099,0.047,-0.029,9.005,4.105,-10.2,-20.1,-18.23,0.696,0.42,0.182,0.55
-1.161,0.066,0.101,0.019,8.713,4.263,-10.8,-19.95,-18.38,0.698,0.416,0.179,0.552
-1.208,0.171,0.096,-0.053,8.622,4.426,-9.3,-19.65,-17.18,0.7,0.411,0.176,0.553
-1.244,0.029,-0.111,0.359,8.751,4.321,-11.1,-17.25,-17.48,0.703,0.407,0.172,0.554
-1.23,-0.07,0.045,-0.455,8.646,4.555,-11.25,-17.7,-18.83,0.706,0.402,0.168,0.556
-1.464,-0.042,-0.009,0.182,7.837,5.336,-9.6,-18.45,-17.18,0.709,0.397,0.164,0.557
-1.522,-0.214,-0.182,0.053,8.105,5.178,-9.6,-18.45,-17.18,0.712,0.392,0.159,0.557
-1.418,-0.044,0.032,-0.158,8.105,5.532,-10.2,-18.3,-18.23,0.715,0.387,0.155,0.558
-1.348,0.018,-0.156,-0.187,8.133,5.331,-9.45,-15.3,-20.78,0.718,0.381,0.151,0.559
-1.414,0.009,0.069,0.11,7.923,5.532,-9.45,-15.3,-20.78,0.721,0.376,0.147,0.561
-1.49,0.017,0.014,0.062,7.76,5.36,-10.65,-16.05,-20.03,0.724,0.37,0.142,0.562
-1.407,-0.038,0.023,-0.139,7.683,5.916,-10.65,-15.0,-19.73,0.726,0.365,0.138,0.563
-1.552,-0.085,-0.117,0.105,7.429,6.227,-10.5,-15.45,-19.88,0.729,0.359,0.133,0.564
-1.478,-0.068,-0.151,-0.014,7.381,6.251,-11.7,-15.15,-21.08,0.733,0.353,0.129,0.565
-1.401,-0.105,-0.168,0.101,7.166,6.447,-10.8,-13.65,-19.88,0.736,0.348,0.124,0.565
-1.421,-0.034,-0.076,-0.374,7.41,6.701,-11.25,-13.65,-22.13,0.738,0.342,0.12,0.566
-1.254,0.016,-0.074,-0.024,7.152,6.931,-11.25,-13.65,-22.13,0.741,0.337,0.116,0.567
-1.28,0.061,-0.059,0.005,7.175,6.62,-9.6,-13.65,-21.08,0.743,0.331,0.112,0.567
-1.27,0.029,0.024,-0.144,7.022,6.582,-11.25,-13.65,-22.13,0.745,0.326,0.108,0.568
-1.458,-0.01,0.036,-0.01,6.989,6.84,-10.65,-12.75,-20.78,0.747,0.321,0.104,0.57
-1.393,-0.063,-0.032,0.043,6.682,7.3,-10.8,-13.35,-22.58,0.75,0.315,0.099,0.57
-1.468,0.047,-0.004,-0.12,6.687,7.003,-11.1,-12.75,-21.98,0.752,0.309,0.095,0.571
-1.372,-0.027,0.011,-0.072,6.376,7.358,-9.9,-11.25,-22.28,0.754,0.303,0.091,0.572
-1.15,-0.029,0.019,-0.244,6.203,7.568,-9.9,-11.25,-22.28,0.756,0.299,0.087,0.573
-1.095,0.033,-0.046,-0.101,6.179,7.42,-10.65,-12.3,-21.53,0.758,0.294,0.084,0.573
-1.164,-0.031,0.016,-0.081,6.227,7.391,-9.6,-9.9,-24.08,0.76,0.289,0.08,0.574
-1.409,-0.025,-0.002,-0.043,6.088,7.607,-10.5,-11.85,-22.88,0.762,0.284,0.075,0.575
-1.336,-0.017,0.032,-0.105,5.858,8.114,-12.0,-10.65,-23.63,0.763,0.278,0.071,0.576
-1.094,0.052,-0.022,0.005,5.777,7.947,-12.0,-11.85,-23.33,0.765,0.273,0.068,0.576
-0.989,0.071,-0.074,-0.144,5.633,8.019,-9.9,-10.5,-22.28,0.767,0.269,0.065,0.577
-1.041,0.004,-0.003,-0.077,5.695,7.803,-12.45,-11.1,-23.63,0.768,0.265,0.062,0.577
-1.29,0.002,-0.008,0.019,5.47,7.736,-10.2,-9.75,-23.78,0.77,0.259,0.058,0.578
-1.661,0.033,-0.005,-0.148,5.384,7.894,-10.8,-9.6,-24.83,0.772,0.253,0.053,0.578
-1.85,0.031,-0.067,-0.029,5.097,8.426,-10.8,-9.6,-24.83,0.774,0.245,0.047,0.579
-1.523,-0.045,0.037,-0.105,4.857,8.727,-8.25,-7.95,-24.23,0.776,0.239,0.042,0.579
-1.479,-0.005,0.035,0.029,4.785,8.541,-10.8,-7.65,-23.63,0.778,0.232,0.038,0.58
-1.593,0.114,-0.039,-0.024,4.507,8.656,-10.8,-6.9,-22.58,0.78,0.225,0.033,0.58
-1.531,0.029,-0.033,-0.11,4.493,8.727,-11.25,-7.35,-24.83,0.781,0.219,0.028,0.581
-1.394,0.042,-0.05,-0.034,4.134,9.077,-11.4,-7.2,-23.78,0.783,0.213,0.024,0.581
-1.132,0.056,-0.068,-0.091,4.067,8.814,-10.8,-5.1,-23.63,0.784,0.208,0.02,0.581
-1.262,-0.029,0.027,-0.062,3.99,8.689,-10.8,-5.1,-23.63,0.786,0.202,0.016,0.582
-1.477,0.038,-0.034,-0.034,3.894,8.828,-10.5,-5.85,-25.13,0.787,0.196,0.011,0.582
-1.929,0.068,-0.033,-0.153,3.612,8.967,-10.5,-5.85,-25.13,0.789,0.188,0.006,0.582
-1.833,0.029,-0.044,-0.029,3.377,9.436,-10.65,-4.95,-25.73,0.791,0.18,0.0,0.582
-1.414,0.023,0.035,-0.034,3.176,9.58,-10.5,-3.6,-25.58,0.792,0.173,-0.004,0.582
-1.123,0.041,-0.042,-0.091,3.109,9.499,-10.5,-3.9,-25.88,0.793,0.168,-0.008,0.582
-1.283,0.044,-0.057,-0.153,2.917,9.091,-10.05,-2.1,-25.58,0.794,0.162,-0.012,0.582
-1.266,0.007,-0.007,-0.134,2.754,9.25,-12.0,-2.85,-25.58,0.795,0.157,-0.016,0.582
-1.182,0.038,0.323,-0.838,1.878,9.939,-11.1,-2.25,-25.73,0.795,0.151,-0.02,0.584
-1.053,0.014,0.104,0.321,2.85,9.12,-11.1,-2.25,-25.73,0.796,0.147,-0.024,0.584
-1.018,-0.029,0.059,-0.024,2.486,9.216,-9.9,-2.25,-23.78,0.796,0.142,-0.027,0.584
-1.44,0.049,-0.012,-0.12,2.309,8.833,-12.6,-1.95,-25.43,0.797,0.136,-0.032,0.584
-1.564,-0.081,-0.01,-0.053,1.964,9.479,-11.25,-1.35,-22.88,0.798,0.129,-0.038,0.584
-1.781,-0.01,0.028,0.067,1.571,10.758,-10.5,-1.35,-26.33,0.799,0.122,-0.043,0.584
-1.279,0.038,-0.146,-0.45,2.309,10.208,-10.65,-0.45,-26.48,0.8,0.116,-0.047,0.583
-0.905,0.002,0.016,-0.12,1.619,9.551,-9.9,-0.45,-27.23,0.801,0.112,-0.05,0.583
-1.139,0.103,0.014,-0.101,1.159,9.178,-10.8,1.65,-27.83,0.801,0.106,-0.053,0.583
-1.328,0.022,0.049,0.206,1.303,9.733,-11.25,0.15,-27.38,0.802,0.1,-0.058,0.583
-1.221,0.017,0.045,0.034,1.207,10.03,-11.1,1.05,-27.68,0.802,0.095,-0.062,0.583
-1.086,0.03,0.058,-0.101,1.097,9.638,-11.1,1.05,-27.68,0.803,0.09,-0.065,0.583
-0.841,-0.015,0.104,0.096,0.963,9.949,-11.7,1.95,-27.08,0.802,0.086,-0.068,0.584
-0.554,0.028,-0.021,-0.057,0.79,10.026,-10.2,2.55,-26.18,0.803,0.083,-0.07,0.584
-0.438,-0.034,0.005,0.067,0.79,9.681,-11.85,1.8,-26.48,0.803,0.081,-0.072,0.583
-0.659,0.039,-0.113,-0.431,0.848,9.882,-10.65,1.8,-24.98,0.803,0.077,-0.074,0.583
-0.341,-0.013,0.052,-0.067,0.522,9.642,-11.1,2.55,-27.68,0.803,0.076,-0.076,0.583
-0.201,0.05,-0.03,-0.148,0.56,9.815,-11.1,2.55,-27.68,0.803,0.074,-0.077,0.583
-0.138,-0.04,0.062,-0.067,0.517,9.796,-9.6,3.9,-24.83,0.803,0.073,-0.078,0.583
-0.156,0.018,0.059,0.0,0.627,9.772,-11.4,2.55,-24.98,0.803,0.072,-0.079,0.584
-0.2,-0.06,0.034,-0.153,0.436,9.508,-11.4,2.55,-24.98,0.803,0.071,-0.08,0.584
-0.311,0.056,0.028,-0.038,0.445,9.642,-11.4,3.0,-26.93,0.803,0.069,-0.081,0.584
-0.23,-0.003,0.09,-0.024,0.383,9.872,-11.25,4.2,-26.63,0.802,0.067,-0.083,0.584
-0.241,0.014,0.052,-0.292,0.321,9.604,-10.5,3.9,-26.33,0.802,0.065,-0.084,0.585
-0.271,0.054,0.021,-0.014,0.369,9.671,-11.25,2.4,-26.63,0.802,0.064,-0.085,0.585
-0.227,-0.014,0.068,-0.211,0.331,9.901,-11.1,1.8,-25.73,0.802,0.062,-0.086,0.585
-0.355,0.061,0.104,0.038,0.292,9.824,-10.2,3.3,-26.48,0.802,0.06,-0.087,0.585
-0.316,0.05,0.13,0.12,0.369,9.341,-10.2,3.3,-26.48,0.801,0.058,-0.088,0.586
-0.57,-0.084,0.044,-0.398,0.105,9.887,-11.7,3.15,-25.88,0.801,0.056,-0.091,0.586
-0.258,0.055,0.023,0.048,0.053,10.308,-11.25,4.2,-25.13,0.801,0.054,-0.092,0.586
-0.228,0.05,-0.012,-0.096,0.144,9.748,-10.65,4.05,-25.43,0.801,0.052,-0.093,0.586
-0.164,0.073,-0.073,-0.096,0.168,9.891,-10.2,3.3,-26.18,0.801,0.051,-0.093,0.586
-0.173,0.053,0.02,-0.034,0.158,9.839,-9.9,3.75,-26.18,0.801,0.05,-0.094,0.586
-0.096,0.011,0.013,0.053,0.067,9.925,-10.05,4.2,-25.88,0.801,0.049,-0.095,0.586
-0.1,-0.005,-0.023,-0.115,-0.01,9.772,-10.05,4.2,-25.88,0.801,0.048,-0.095,0.586
-0.079,0.07,-0.011,-0.029,0.129,9.867,-12.0,5.4,-25.88,0.801,0.047,-0.096,0.586
-0.006,-0.033,0.036,-0.077,0.144,9.786,-11.4,4.8,-26.18,0.801,0.046,-0.096,0.586
0.03,0.003,0.045,0.11,0.057,9.757,-11.1,3.75,-26.93,0.801,0.046,-0.097,0.587
-0.045,0.008,-0.04,0.014,0.057,9.662,-11.4,4.05,-26.48,0.801,0.045,-0.097,0.586
-0.053,0.04,-0.05,-0.091,0.01,9.729,-10.8,4.65,-25.88,0.801,0.044,-0.098,0.586
0.03,-0.039,0.031,-0.096,0.101,9.877,-11.85,5.55,-26.18,0.801,0.044,-0.098,0.587
-0.015,0.007,-0.002,-0.115,0.091,9.724,-9.0,4.05,-25.73,0.801,0.044,-0.099,0.587
-0.058,0.068,-0.033,-0.163,0.196,9.676,-10.8,4.2,-24.08,0.801,0.043,-0.099,0.587
-0.014,0.013,0.034,-0.091,0.091,9.753,-10.8,4.2,-24.08,0.8,0.042,-0.099,0.587
0.011,-0.019,0.042,-0.105,0.057,9.858,-11.4,5.55,-25.43,0.8,0.042,-0.1,0.587
-0.06,0.094,-0.014,-0.024,0.115,9.81,-10.65,4.05,-24.98,0.8,0.041,-0.1,0.587
-0.056,0.071,-0.007,-0.053,-0.014,9.791,-11.7,2.7,-25.58,0.8,0.04,-0.101,0.587
-0.083,0.007,-0.043,0.0,0.115,9.844,-11.1,3.3,-24.68,0.8,0.039,-0.101,0.587
-0.056,0.038,-0.013,-0.005,-0.019,9.815,-10.2,4.8,-23.78,0.8,0.039,-0.102,0.587
0.016,-0.035,0.038,-0.01,0.081,9.82,-12.3,3.75,-25.43,0.8,0.038,-0.102,0.587
-0.081,0.05,-0.035,-0.034,0.077,9.791,-10.5,4.65,-24.38,0.8,0.037,-0.103,0.587
0.001,-0.036,0.006,-0.062,0.077,9.724,-11.1,4.35,-24.98,0.8,0.037,-0.103,0.587
-0.008,-0.023,0.006,-0.048,0.182,9.82,-11.4,4.35,-24.68,0.799,0.037,-0.104,0.588
-0.027,0.043,0.003,0.038,0.129,9.848,-11.4,4.35,-24.68,0.799,0.036,-0.104,0.588
0.045,-0.032,0.044,-0.072,0.057,9.844,-10.65,4.8,-23.78,0.799,0.036,-0.105,0.588
0.052,-0.023,0.059,0.01,0.081,9.805,-11.25,4.95,-23.63,0.799,0.036,-0.105,0.588
-0.012,-0.007,0.04,-0.077,0.019,9.743,-12.0,3.45,-22.88,0.798,0.036,-0.106,0.589
0.02,-0.04,0.056,-0.144,-0.005,9.762,-8.85,4.65,-23.33,0.798,0.035,-0.106,0.589
-0.048,0.078,-0.005,-0.048,0.182,9.944,-11.1,3.0,-24.68,0.798,0.035,-0.107,0.589
0.017,-0.043,0.065,-0.043,-0.057,9.695,-12.0,2.4,-24.83,0.798,0.035,-0.107,0.589
0.025,-0.025,0.017,-0.139,0.062,9.724,-11.4,5.1,-26.18,0.798,0.034,-0.108,0.59
-0.034,0.096,0.006,-0.053,0.148,9.743,-12.3,4.8,-23.48,0.798,0.034,-0.108,0.59
-0.002,-0.005,0.024,-0.038,0.148,9.786,-12.3,4.8,-23.48,0.797,0.033,-0.109,0.59
-0.004,-0.021,0.003,-0.057,0.029,9.853,-9.3,4.65,-24.83,0.797,0.033,-0.109,0.59
0.009,-0.012,-0.02,-0.081,0.053,9.772,-9.45,4.05,-23.48,0.797,0.033,-0.109,0.59
-0.015,-0.008,0.05,-0.101,0.077,9.906,-11.7,5.7,-25.13,0.797,0.032,-0.11,0.59
-0.057,-0.02,-0.075,-0.105,0.034,9.805,-9.9,4.35,-26.93,0.797,0.032,-0.11,0.59
-0.064,0.026,-0.017,-0.019,0.11,9.877,-11.1,4.35,-24.68,0.797,0.031,-0.11,0.59
-0.039,0.028,-0.004,-0.115,0.062,9.82,-11.7,2.7,-26.33,0.797,0.031,-0.111,0.59
0.049,-0.019,0.017,-0.01,0.072,9.796,-10.5,3.9,-25.58,0.797,0.03,-0.111,0.59
-0.022,0.042,0.044,0.038,0.072,9.829,-11.25,4.65,-25.13,0.797,0.03,-0.111,0.591
0.019,-0.024,0.106,0.105,0.029,9.561,-11.25,4.65,-25.13,0.796,0.03,-0.112,0.591
