gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q2,q3
0.009,0.017,0.033,-0.067,0.077,10.15,-11.25,3.9,-25.58,0.846,-0.019,-0.143,0.51
-0.035,-0.038,0.043,-0.081,0.148,10.198,-11.25,3.9,-25.58,0.846,-0.019,-0.143,0.51
0.009,-0.005,0.058,-0.057,0.081,10.342,-9.6,3.9,-25.13,0.846,-0.018,-0.143,0.511
-0.055,0.09,0.013,-0.072,0.043,10.356,-10.65,3.75,-24.68,0.846,-0.019,-0.142,0.511
-0.016,-0.034,0.04,0.029,0.057,10.208,-10.8,3.15,-24.83,0.846,-0.018,-0.143,0.511
0.012,0.068,0.059,-0.038,0.029,10.246,-9.6,4.2,-24.83,0.845,-0.018,-0.142,0.511
0.004,0.036,0.02,-0.038,0.043,10.37,-10.05,3.9,-24.83,0.845,-0.018,-0.142,0.511
-0.071,0.079,-0.043,-0.067,0.038,10.117,-9.0,4.8,-25.43,0.846,-0.019,-0.141,0.511
0.014,-0.018,0.016,0.048,0.067,10.117,-12.45,5.7,-25.58,0.845,-0.019,-0.142,0.511
-0.079,0.04,0.016,-0.115,0.077,10.299,-11.1,5.1,-25.73,0.845,-0.019,-0.142,0.511
-0.022,0.101,0.001,-0.192,0.072,10.303,-11.7,4.65,-25.13,0.845,-0.019,-0.142,0.511
0.019,0.003,0.026,-0.053,0.101,10.174,-11.7,4.65,-25.13,0.845,-0.019,-0.142,0.511
-0.017,0.036,-0.001,-0.077,-0.024,10.26,-10.65,4.35,-25.43,0.845,-0.019,-0.141,0.512
0.016,-0.01,0.015,-0.172,0.062,10.188,-11.1,4.35,-25.73,0.845,-0.019,-0.141,0.512
-0.064,0.092,-0.024,-0.062,0.062,10.299,-11.1,4.35,-25.43,0.845,-0.019,-0.141,0.512
0.038,-0.014,0.033,-0.01,0.163,10.217,-10.65,4.35,-25.73,0.845,-0.019,-0.141,0.512
-0.042,0.047,0.007,-0.053,0.081,10.212,-11.1,4.05,-26.18,0.845,-0.019,-0.141,0.512
0.022,0.007,0.029,-0.091,0.115,10.327,-10.5,3.9,-27.08,0.845,-0.019,-0.141,0.512
-0.013,0.006,0.028,-0.086,0.129,10.275,-10.5,3.9,-27.08,0.845,-0.019,-0.141,0.512
-0.072,0.054,-0.013,0.029,0.172,10.27,-11.25,4.65,-26.33,0.845,-0.019,-0.141,0.512
-0.013,0.06,0.135,0.177,0.211,10.241,-10.2,3.75,-23.78,0.845,-0.019,-0.14,0.513
-0.061,0.013,-0.023,-0.077,0.148,10.26,-10.2,3.75,-23.78,0.845,-0.019,-0.141,0.513
-0.068,0.076,-0.011,0.0,0.086,10.332,-12.3,4.35,-26.48,0.845,-0.019,-0.141,0.512
-0.02,0.023,0.073,0.029,0.086,10.299,-11.25,4.2,-26.33,0.845,-0.019,-0.141,0.513
-0.15,0.02,-0.021,0.081,0.125,10.275,-11.25,5.4,-24.83,0.845,-0.02,-0.141,0.513
-0.066,0.019,0.021,-0.077,0.062,10.208,-12.45,3.9,-26.33,0.845,-0.02,-0.141,0.513
