11:46:20.514 -> Raw:-15480,04864,01392,00153,00183,00225,00077,-00208,-00344
11:46:20.576 -> Raw:-16080,04760,01352,-00380,00961,-00510,00077,-00201,-00347
11:46:20.576 -> Raw:-15672,04824,01440,-00335,00456,-00113,00065,-00202,-00345
11:46:20.622 -> Raw:-15624,04992,01144,00020,-00201,-00178,00072,-00201,-00347
11:46:20.622 -> Raw:-15864,04752,01264,-00126,00115,00120,00072,-00208,-00347
11:46:20.676 -> Raw:-15784,04736,01288,-00424,00668,-00458,00088,-00203,-00349
11:46:20.726 -> Raw:-15680,04400,01224,00246,-00208,-00102,00074,-00213,-00339
11:46:20.726 -> Raw:-16160,04600,01304,-00134,-00164,00136,00074,-00211,-00342
11:46:20.776 -> Raw:-15560,04720,01424,-00532,01159,-00049,00073,-00199,-00343
11:46:20.776 -> Raw:-15920,04720,01360,-00808,00983,00034,00072,-00208,-00342
11:46:20.813 -> Raw:-15952,05040,01384,00070,00324,00997,00070,-00204,-00340
11:46:20.860 -> Raw:-15704,05024,01376,-00440,00926,00135,00074,-00203,-00347
11:46:20.893 -> Raw:-16048,04792,01264,-00208,00694,00296,00077,-00203,-00344
11:46:20.940 -> Raw:-15200,05112,01344,00415,00435,00466,00069,-00206,-00337
11:46:20.940 -> Raw:-15432,05360,00904,00034,-00262,00537,00073,-00212,-00348
11:46:20.977 -> Raw:-15880,05400,01520,-00312,00264,00347,00085,-00206,-00344
11:46:21.025 -> Raw:-14904,05864,01672,00402,00566,00449,00077,-00201,-00339
11:46:21.025 -> Raw:-15136,05656,01264,00482,01084,-00158,00084,-00209,-00340
11:46:21.077 -> Raw:-15392,05000,00808,-00328,01838,-00257,00073,-00209,-00333
11:46:21.124 -> Raw:-15576,04792,00136,-01034,03374,-00621,00080,-00213,-00337
11:46:21.124 -> Raw:-15592,04600,01024,00030,02355,-00363,00081,-00209,-00328
11:46:21.169 -> Raw:-16104,04056,00520,-00388,01817,-00509,00086,-00217,-00330
11:46:21.208 -> Raw:-16168,04256,00416,-00315,01899,-00817,00089,-00209,-00340
11:46:21.255 -> Raw:-15912,04176,00080,-00415,01213,-00304,00088,-00211,-00337
11:46:21.255 -> Raw:-16840,03672,00104,01461,03664,00653,00085,-00206,-00334
11:46:21.293 -> Raw:-16464,04336,00040,00889,03977,00233,00086,-00209,-00330
11:46:21.342 -> Raw:-16192,04424,00248,02424,04150,-00020,00090,-00206,-00329
11:46:21.342 -> Raw:-16384,04560,-00256,01607,02023,00583,00097,-00207,-00320
11:46:21.377 -> Raw:-16592,04144,-01576,00957,00129,01488,00097,-00209,-00325
11:46:21.420 -> Raw:-16232,04624,-01752,00760,01784,01505,00097,-00212,-00318
11:46:21.478 -> Raw:-16360,04552,-01136,00244,02678,02347,00090,-00218,-00314
11:46:21.478 -> Raw:-14864,05168,-01136,-00436,02256,01342,00093,-00206,-00314
11:46:21.517 -> Raw:-15408,05328,-01552,01113,04287,01588,00093,-00221,-00314
11:46:21.577 -> Raw:-14840,05520,-02384,00662,02215,01389,00105,-00209,-00310
11:46:21.577 -> Raw:-14336,05736,-02368,-00587,01158,00942,00102,-00217,-00308
11:46:21.625 -> Raw:-14616,05136,-03000,-01391,01704,00506,00093,-00223,-00311
11:46:21.625 -> Raw:-15232,05624,-02088,-01303,01672,00665,00090,-00226,-00306
11:46:21.671 -> Raw:-15192,05464,-02824,-00299,02737,01132,00094,-00224,-00315
11:46:21.725 -> Raw:-15280,05872,-02056,00320,01794,00976,00093,-00223,-00304
11:46:21.725 -> Raw:-15232,06176,-01656,-00647,-00251,01056,00096,-00221,-00301
11:46:21.777 -> Raw:-14800,06248,-02064,-00264,01103,00577,00092,-00227,-00308
11:46:21.777 -> Raw:-15144,06064,-02056,-00454,00208,00799,00096,-00221,-00309
11:46:21.824 -> Raw:-15944,05952,-01824,-00152,00116,00714,00094,-00209,-00310
11:46:21.878 -> Raw:-15728,05568,-02184,-00233,00522,01130,00093,-00223,-00304
11:46:21.878 -> Raw:-15344,05864,-01424,-00292,00499,01756,00094,-00229,-00313
11:46:21.924 -> Raw:-15624,06296,-01584,00943,03811,01190,00100,-00217,-00298
11:46:21.978 -> Raw:-15504,06440,-02136,03210,08688,00287,00096,-00228,-00301
11:46:21.978 -> Raw:-15112,06880,-02184,04532,09337,00531,00110,-00237,-00295
11:46:22.025 -> Raw:-14592,06320,-04304,05867,09434,01267,00108,-00234,-00283
11:46:22.078 -> Raw:-15280,06056,-04800,05477,09657,00582,00112,-00240,-00269
11:46:22.078 -> Raw:-12808,05768,-05152,08034,18889,01355,00104,-00238,-00259
11:46:22.125 -> Raw:-13080,06672,-07304,04030,07076,-01531,00102,-00249,-00242
11:46:22.125 -> Raw:-10840,06536,-04104,06115,10831,-04367,00113,-00234,-00232
11:46:22.178 -> Raw:-13720,05072,-07648,04391,05370,-05899,00110,-00239,-00217
11:46:22.224 -> Raw:-15360,03304,-10176,09151,17461,-02884,00126,-00242,-00215
11:46:22.224 -> Raw:-12544,03288,-09456,04761,14846,-04237,00134,-00219,-00194
11:46:22.278 -> Raw:-12240,03368,-09584,06383,27103,00857,00137,-00232,-00179
11:46:22.278 -> Raw:-06952,02200,-11824,08691,32767,19606,00116,-00232,-00149
11:46:22.339 -> Raw:-04312,05224,-15976,11212,32767,26422,00097,-00242,-00101
11:46:22.339 -> Raw:-01792,02440,-13584,09491,15037,00233,00069,-00258,-00093
11:46:22.378 -> Raw:-00032,03176,-14408,18459,29583,03104,00048,-00253,-00055
11:46:22.425 -> Raw:00152,-00560,-16256,21362,22647,-02676,00032,-00238,-00030
11:46:22.479 -> Raw:09608,11080,-04768,32767,32767,-01750,-00009,-00185,00021
11:46:22.479 -> Raw:00632,-02496,-18984,02170,14082,-06107,-00053,-00159,00032
11:46:22.525 -> Raw:06952,-02512,-08832,-00346,22552,-12923,-00073,-00160,00033
11:46:22.525 -> Raw:05096,-00448,-16064,32767,02219,-32768,-00086,-00150,00041
11:46:22.579 -> Raw:13736,-18856,-05488,32767,14169,-32768,-00096,-00144,00047
11:46:22.626 -> Raw:12696,-06944,-18640,01499,32767,32767,-00105,-00132,00038
11:46:22.626 -> Raw:13512,-00456,-27472,13458,09980,10329,-00189,-00116,00010
11:46:22.679 -> Raw:11368,-02720,02560,23509,-19436,-01360,-00196,-00096,00022
11:46:22.726 -> Raw:12224,-05096,00208,-22426,32767,-18185,-00196,-00095,00021
11:46:22.726 -> Raw:15832,-06624,-11280,16553,32468,-08492,-00227,-00124,-00000
11:46:22.772 -> Raw:13856,-01880,-07288,-32768,32767,-15719,-00240,-00119,-00012
11:46:22.806 -> Raw:18152,-00584,-04368,-05729,10688,-09303,-00252,-00185,-00071
11:46:22.806 -> Raw:18496,-02696,-05520,-06005,22513,03704,-00247,-00195,-00086
11:46:22.846 -> Raw:18880,-02016,-01048,-02555,17332,10190,-00272,-00191,-00103
11:46:22.895 -> Raw:15912,-03504,09280,17067,32767,27764,-00281,-00180,-00132
11:46:22.942 -> Raw:16032,-05336,02896,19447,15841,-06778,-00291,-00163,-00148
11:46:22.942 -> Raw:17360,-00376,-00400,14725,27836,12555,-00281,-00152,-00162
11:46:22.980 -> Raw:15992,-06288,08504,09156,28356,12443,-00297,-00135,-00167
11:46:23.026 -> Raw:17288,-08264,08856,00207,32767,23337,-00300,-00122,-00199
11:46:23.026 -> Raw:14512,-04792,09272,15667,04674,08402,-00296,-00111,-00233
11:46:23.080 -> Raw:16520,-06816,15568,00246,26452,12405,-00288,-00099,-00236
11:46:23.127 -> Raw:14688,-06104,12032,04324,28610,00105,-00279,-00103,-00255
11:46:23.127 -> Raw:06744,-11464,15616,-10527,32767,-01841,-00279,-00095,-00288
11:46:23.180 -> Raw:11904,-03504,12320,-03524,23392,07649,-00261,-00106,-00316
11:46:23.227 -> Raw:08864,-09000,17680,-05712,25310,06150,-00235,-00094,-00332
11:46:23.227 -> Raw:05648,-03832,10432,-07032,21928,14022,-00229,-00091,-00347
11:46:23.274 -> Raw:01888,-04880,15224,-32768,32767,14597,-00211,-00062,-00369
11:46:23.324 -> Raw:01632,-12440,13784,05645,04878,13132,-00205,-00047,-00374
11:46:23.324 -> Raw:00216,-10408,16776,-08721,19390,09961,-00189,-00037,-00389
11:46:23.381 -> Raw:00384,-11088,15824,-05700,12876,15634,-00172,-00023,-00386
11:46:23.381 -> Raw:02104,-04104,26056,32767,-32768,12538,-00168,-00029,-00399
11:46:23.427 -> Raw:-00328,04912,17768,32767,-09199,-24746,-00200,-00104,-00382
11:46:23.481 -> Raw:00544,03792,11768,03619,-06912,-32768,-00188,-00180,-00350
11:46:23.481 -> Raw:-00256,03440,15024,13049,11181,02163,-00181,-00203,-00334
11:46:23.528 -> Raw:-03152,10888,19960,11153,11996,-06238,-00181,-00216,-00329
11:46:23.582 -> Raw:20728,-19656,32767,-32768,32767,32767,-00180,-00217,-00330
11:46:23.582 -> Raw:-09584,04768,-02720,-10030,04688,05389,-00108,00060,-00406
11:46:23.629 -> Raw:-07824,-08832,11960,03376,-00885,05456,-00096,00079,-00374
11:46:23.629 -> Raw:-09136,-07128,07728,00235,06931,03373,-00101,00081,-00374
11:46:23.682 -> Raw:-07288,-10456,02904,-03549,-03699,-03532,-00085,00084,-00377
11:46:23.729 -> Raw:-10504,-08872,04888,-17082,-03584,-01223,-00090,00079,-00377
11:46:23.729 -> Raw:-08160,-09584,05952,04832,-06945,-01104,-00110,00100,-00368
11:46:23.782 -> Raw:-10512,-10736,07328,-17363,-04422,02650,-00101,00094,-00357
11:46:23.782 -> Raw:-02080,-17640,15448,32767,16888,32767,-00101,00114,-00364
11:46:23.840 -> Raw:-07000,03816,-01376,32767,32767,30724,-00068,00070,-00396
11:46:23.882 -> Raw:-12632,-09464,05080,07909,32767,-07769,-00004,-00063,-00428
11:46:23.882 -> Raw:-09072,-02568,-01336,03266,32767,08874,00062,-00060,-00391
11:46:23.929 -> Raw:-16720,01656,00712,12618,01644,09441,00081,-00053,-00381
11:46:23.982 -> Raw:-14840,01872,05392,15917,03329,07005,00088,-00074,-00387
11:46:23.982 -> Raw:-16784,-02864,03800,03238,12547,-00342,00085,-00096,-00377
11:46:24.029 -> Raw:-08232,04696,08648,-18812,32767,-03396,00105,-00088,-00371
11:46:24.083 -> Raw:-05064,00904,-06992,-32768,-28806,32767,00124,-00080,-00353
11:46:24.083 -> Raw:-13840,05064,-16752,32767,27813,-15358,00137,00028,-00293
11:46:24.123 -> Raw:-06352,-19232,-08392,-00107,-32768,-12722,00112,00084,-00249
11:46:24.183 -> Raw:-15056,-06080,14560,-32768,-32768,32767,00092,00078,-00295
11:46:24.183 -> Raw:-14280,07680,11544,-32768,-13802,32767,00105,00058,-00305
11:46:24.229 -> Raw:-14464,10048,06456,-15839,12489,07433,00116,00055,-00295
11:46:24.229 -> Raw:-15888,-01016,01992,-13220,-13111,24418,00124,00048,-00270
11:46:24.283 -> Raw:-12608,06944,15616,-32768,-10240,18997,00138,00052,-00276
11:46:24.283 -> Raw:-32768,-18256,06488,-32768,-01154,19363,00140,00043,-00252
11:46:24.330 -> Raw:-11640,08984,07680,-04261,-19289,32767,00168,00004,-00228
11:46:24.368 -> Raw:-11056,06984,07368,23449,-25059,08082,00172,-00016,-00240
11:46:24.416 -> Raw:-09312,05800,13712,21853,-27492,09391,00165,-00032,-00289
11:46:24.416 -> Raw:-07528,11824,17720,-20666,-07306,10334,00158,-00043,-00308
11:46:24.463 -> Raw:-05312,07928,11320,-32736,-02331,-09069,00160,-00042,-00311
11:46:24.499 -> Raw:-08544,-00408,19888,-29451,05740,08494,00154,-00049,-00306
11:46:24.546 -> Raw:-13856,03664,13072,-19386,20810,00257,00165,-00049,-00296
11:46:24.546 -> Raw:-11576,02680,14672,-32768,12863,-04153,00176,-00019,-00264
11:46:24.584 -> Raw:-11048,-04128,12376,-32768,30162,-11554,00181,-00007,-00244
11:46:24.631 -> Raw:-11120,-07176,06208,-32768,32767,-00666,00168,00007,-00181
11:46:24.631 -> Raw:-08888,-08632,02128,-27342,32588,07892,00158,-00001,-00127
11:46:24.684 -> Raw:-14032,-11520,00408,-21967,01677,14416,00161,-00011,-00099
11:46:24.731 -> Raw:-13880,-03280,-00008,-05823,-32768,-02109,00154,-00027,-00093
11:46:24.731 -> Raw:-10392,-02000,21528,32767,-30640,28918,00179,-00024,-00153
11:46:24.785 -> Raw:-04904,-05120,18016,12424,-18228,25889,00197,-00054,-00206
11:46:24.785 -> Raw:-05440,-06320,08576,02443,26326,32767,00180,-00090,-00199
11:46:24.831 -> Raw:-08320,-00816,05336,-16644,-20012,32767,00188,-00118,-00184
11:46:24.878 -> Raw:-03856,15736,18960,-11808,-32768,32767,00152,-00186,-00221
11:46:24.878 -> Raw:-03904,06744,15864,27671,-03469,17982,00101,-00221,-00251
11:46:24.920 -> Raw:-01456,01240,09456,-09643,-20925,32767,00102,-00237,-00245
11:46:24.967 -> Raw:01384,30040,28144,-23124,-19465,32767,00032,-00265,-00259
11:46:25.016 -> Raw:03040,13384,18528,32767,00618,-11974,00016,-00270,-00279
11:46:25.016 -> Raw:01256,09184,10304,32767,28498,-05278,00020,-00284,-00207
11:46:25.063 -> Raw:02920,04008,17576,-17354,32767,04036,00032,-00280,-00176
11:46:25.100 -> Raw:04000,11576,05048,-27339,32767,23567,00021,-00280,-00171
11:46:25.100 -> Raw:-00664,15584,-02440,-07399,25378,20615,-00006,-00284,-00174
11:46:25.147 -> Raw:00112,10080,15608,-01362,15992,09919,-00037,-00285,-00173
11:46:25.185 -> Raw:-07128,11208,02936,-19531,32767,32767,-00060,-00284,-00182
11:46:25.232 -> Raw:-00984,26656,-02808,-32768,17988,23630,-00084,-00279,-00212
11:46:25.232 -> Raw:-04408,19512,10592,23735,-01744,-15251,-00092,-00284,-00230
11:46:25.285 -> Raw:-05024,15712,13008,20698,31506,-12318,-00085,-00285,-00203
11:46:25.285 -> Raw:-06304,16608,05456,-02222,23340,-05499,-00077,-00293,-00188
11:46:25.332 -> Raw:-07088,14248,13528,22809,32767,-17674,-00054,-00277,-00194
11:46:25.385 -> Raw:-00536,11856,-05872,24765,32767,-26608,-00048,-00293,-00163
11:46:25.385 -> Raw:-12488,-03616,01656,32767,26261,-30506,-00040,-00285,-00123
11:46:25.438 -> Raw:-07416,06584,-07080,-13082,32767,02261,-00024,-00250,-00088
11:46:25.485 -> Raw:-03760,16176,-13896,-11367,32767,04944,-00074,-00265,-00080
11:46:25.485 -> Raw:-10704,07160,-10896,25005,14614,-29087,-00088,-00258,-00077
11:46:25.532 -> Raw:-12056,05016,-03016,32767,30547,-06088,-00070,-00242,-00046
11:46:25.570 -> Raw:00768,04808,-16472,20614,32767,-09221,-00088,-00221,-00020
11:46:25.570 -> Raw:-01704,03216,-21800,32767,31351,-27102,-00117,-00206,-00002
11:46:25.617 -> Raw:02448,-07456,-19544,18874,25687,-15604,-00124,-00192,00013
11:46:25.664 -> Raw:-00480,01952,-22960,13569,04182,01960,-00152,-00171,00007
11:46:25.664 -> Raw:00240,-02248,-17744,20791,-03144,-10980,-00136,-00159,00027
11:46:25.702 -> Raw:-02344,-02152,-20504,19462,-10442,-08841,-00133,-00141,00027
