ax,ay,az,gx,gy,gz,mx,my,mz
-14112.0,1752.0,1656.0,-29426.0,27642.0,-17797.0,212.0,-93.0,-1.0
-15584.0,-496.0,-304.0,-18898.0,20372.0,-17247.0,227.0,-65.0,20.0
-16128.0,-2632.0,-2152.0,-5541.0,11387.0,-16667.0,239.0,-36.0,23.0
-15408.0,-4440.0,-2352.0,4267.0,2828.0,-14001.0,249.0,-23.0,36.0
-13928.0,-4280.0,-1424.0,15548.0,-1853.0,-11660.0,241.0,-18.0,33.0
-13504.0,-5056.0,2440.0,32522.0,-6119.0,-6276.0,243.0,-12.0,35.0
-15688.0,-8480.0,8512.0,32767.0,-6670.0,2176.0,220.0,-28.0,16.0
-15784.0,-4760.0,9928.0,32767.0,-4747.0,1662.0,235.0,-92.0,12.0
-19072.0,-4808.0,17080.0,32767.0,4049.0,-1663.0,220.0,-133.0,16.0
-17760.0,-9200.0,13552.0,32767.0,13555.0,-1525.0,229.0,-177.0,45.0
-15840.0,-11320.0,8792.0,32767.0,17439.0,7416.0,228.0,-203.0,94.0
-13824.0,-8120.0,3128.0,32767.0,15783.0,7838.0,233.0,-226.0,122.0
-10512.0,-9640.0,816.0,32767.0,16264.0,12553.0,221.0,-247.0,173.0
-13056.0,-6496.0,-1752.0,32767.0,20315.0,20375.0,215.0,-256.0,210.0
-12040.0,-2240.0,-864.0,27813.0,22523.0,23029.0,203.0,-265.0,251.0
-10872.0,4504.0,-1040.0,1685.0,31553.0,20582.0,175.0,-263.0,290.0
-10448.0,5144.0,-1744.0,-10717.0,32767.0,21695.0,142.0,-271.0,310.0
-7184.0,3832.0,-4440.0,-23672.0,32767.0,26363.0,93.0,-285.0,311.0
-4744.0,2760.0,-2944.0,-32015.0,32767.0,29630.0,57.0,-301.0,300.0
3008.0,10688.0,-2848.0,-19375.0,32767.0,32767.0,24.0,-307.0,289.0
4784.0,17912.0,-2200.0,-21288.0,27924.0,31843.0,-30.0,-306.0,267.0
6456.0,24104.0,-3184.0,-23046.0,28147.0,23694.0,-58.0,-302.0,241.0
9312.0,32767.0,-3736.0,-20518.0,23466.0,9055.0,-90.0,-310.0,213.0
8984.0,32767.0,-1392.0,-19566.0,24212.0,-13467.0,-100.0,-313.0,187.0
8160.0,32767.0,5544.0,-17119.0,28925.0,-30485.0,-76.0,-323.0,157.0
5808.0,32352.0,4720.0,-23556.0,32767.0,-32768.0,-41.0,-333.0,109.0
3912.0,27368.0,-1072.0,-26192.0,32767.0,-32768.0,54.0,-313.0,54.0
-432.0,24088.0,-4664.0,-26293.0,32767.0,-32768.0,134.0,-286.0,18.0
-2112.0,21760.0,-2488.0,-25621.0,32767.0,-32768.0,201.0,-246.0,13.0
-2608.0,20344.0,-2448.0,-26738.0,32767.0,-32768.0,257.0,-181.0,26.0
-1104.0,20496.0,-3944.0,-24684.0,32767.0,-32768.0,291.0,-125.0,52.0
480.0,19104.0,-2000.0,-21033.0,32767.0,-32768.0,312.0,-55.0,85.0
2032.0,15792.0,3536.0,-14110.0,32767.0,-32768.0,304.0,12.0,135.0
6680.0,5192.0,6520.0,905.0,32767.0,-32768.0,272.0,55.0,183.0
13280.0,-808.0,936.0,16701.0,32767.0,-32768.0,184.0,130.0,216.0
17832.0,-7200.0,-3544.0,19979.0,32767.0,-32768.0,120.0,162.0,221.0
18240.0,-14944.0,-7056.0,16435.0,32767.0,-32768.0,46.0,166.0,205.0
15784.0,-20672.0,-9232.0,20790.0,25675.0,-32768.0,-4.0,158.0,184.0
14560.0,-16360.0,-2120.0,29550.0,22785.0,-22645.0,-40.0,145.0,171.0
16520.0,-19744.0,992.0,32767.0,28307.0,-15119.0,-50.0,150.0,148.0
19176.0,-29040.0,4496.0,32767.0,32767.0,-6992.0,-66.0,135.0,80.0
19464.0,-31232.0,3968.0,32767.0,32767.0,5833.0,-49.0,111.0,18.0
18216.0,-27384.0,10160.0,32767.0,32767.0,10093.0,-34.0,82.0,-15.0
13880.0,-25232.0,14232.0,32767.0,32767.0,11362.0,40.0,15.0,-70.0
