ax,ay,az,gx,gy,gz,mx,my,mz
32767.0,-13512.0,1696.0,5600.0,-29138.0,-32768.0,-228.0,-73.0,-293.0
23024.0,-18936.0,2104.0,-15428.0,-31577.0,-32768.0,-229.0,-126.0,-284.0
24072.0,-26408.0,-1664.0,-132.0,-4583.0,31420.0,-231.0,-127.0,-262.0
24800.0,-7336.0,1928.0,23107.0,-6327.0,32767.0,-228.0,-90.0,-267.0
28136.0,272.0,2816.0,10281.0,11731.0,32767.0,-228.0,-43.0,-267.0
19880.0,3144.0,2792.0,32767.0,32767.0,32767.0,-219.0,-24.0,-269.0
9464.0,2440.0,1840.0,4660.0,32767.0,23081.0,-197.0,12.0,-309.0
9408.0,888.0,-376.0,8423.0,32767.0,-7165.0,-175.0,8.0,-328.0
8136.0,-4072.0,-1320.0,-32768.0,25801.0,-32768.0,-171.0,2.0,-337.0
11432.0,-17840.0,-6536.0,-32768.0,-13275.0,32767.0,-158.0,8.0,-330.0
8536.0,-4152.0,-96.0,32767.0,-20667.0,2243.0,-166.0,21.0,-338.0
10568.0,-6760.0,800.0,-12449.0,-25885.0,-16424.0,-160.0,9.0,-327.0
11488.0,-7872.0,1736.0,21480.0,-32768.0,-32768.0,-171.0,2.0,-309.0
12312.0,-8856.0,1784.0,-9596.0,-29634.0,-32768.0,-199.0,-18.0,-308.0
32767.0,-3064.0,632.0,14429.0,-26426.0,-32768.0,-203.0,-19.0,-279.0
24856.0,-7960.0,1088.0,-9627.0,-24853.0,-32768.0,-207.0,-26.0,-272.0
17216.0,-11600.0,1528.0,11989.0,-16876.0,-30162.0,-236.0,-48.0,-257.0
20064.0,-11288.0,1360.0,-4568.0,-5003.0,3469.0,-255.0,-58.0,-250.0
15600.0,-7672.0,2224.0,-9035.0,8531.0,27991.0,-239.0,-48.0,-250.0
16792.0,-3624.0,2688.0,-14193.0,24714.0,32767.0,-228.0,-36.0,-247.0
20232.0,-448.0,816.0,21800.0,32767.0,32767.0,-216.0,-19.0,-271.0
8896.0,-1680.0,1544.0,-17650.0,32767.0,-9009.0,-203.0,-12.0,-299.0
26000.0,1312.0,-144.0,210.0,28651.0,-12295.0,-193.0,-1.0,-308.0
11968.0,-3128.0,16.0,-13560.0,16149.0,-27441.0,-196.0,-16.0,-333.0
19472.0,-4856.0,-880.0,-11172.0,1994.0,-32768.0,-188.0,-31.0,-335.0
20200.0,-7144.0,-928.0,-11859.0,-10749.0,-26710.0,-196.0,-33.0,-323.0
15904.0,-10096.0,-496.0,-2262.0,-19225.0,-11722.0,-211.0,-29.0,-314.0
16856.0,-7576.0,1144.0,-3656.0,-24780.0,22612.0,-221.0,-42.0,-316.0
9104.0,-1864.0,2056.0,32767.0,32767.0,32767.0,-209.0,-11.0,-313.0
11648.0,5904.0,320.0,32767.0,32767.0,31477.0,-158.0,-36.0,-335.0
20368.0,7344.0,2688.0,-32768.0,-32768.0,4546.0,-145.0,-75.0,-360.0
24520.0,4224.0,5712.0,-32768.0,-32768.0,-32768.0,-188.0,-23.0,-333.0
13736.0,4008.0,3024.0,32767.0,32133.0,-29157.0,-223.0,-48.0,-328.0
5136.0,-5672.0,1592.0,-32768.0,-6041.0,-20970.0,-196.0,-90.0,-360.0
1704.0,-8760.0,2704.0,27516.0,-15546.0,-32768.0,-200.0,-69.0,-359.0
6160.0,-3600.0,3464.0,-9144.0,-24449.0,-2119.0,-217.0,-122.0,-340.0
16376.0,-24.0,4952.0,2972.0,-249.0,19972.0,-231.0,-105.0,-353.0
12400.0,816.0,3192.0,32767.0,2810.0,15407.0,-225.0,-103.0,-343.0
16984.0,3528.0,4064.0,-19787.0,-11218.0,21253.0,-235.0,-114.0,-344.0
20808.0,4168.0,4528.0,3817.0,-3666.0,6324.0,-241.0,-100.0,-330.0
19168.0,3560.0,3704.0,11479.0,12761.0,-2447.0,-235.0,-101.0,-329.0
14800.0,1736.0,2920.0,-11359.0,-473.0,-14577.0,-240.0,-94.0,-322.0
12192.0,-792.0,2648.0,-27087.0,-7057.0,-17114.0,-243.0,-116.0,-332.0
12672.0,-752.0,2840.0,-10426.0,3076.0,-4771.0,-236.0,-115.0,-333.0
14624.0,944.0,2616.0,-1065.0,9885.0,572.0,-229.0,-114.0,-334.0
16744.0,2000.0,2608.0,-6657.0,6987.0,-1866.0,-228.0,-108.0,-348.0
17680.0,2440.0,2784.0,-8558.0,3361.0,-4005.0,-232.0,-116.0,-342.0
17560.0,2088.0,2648.0,-4244.0,4785.0,-4234.0,-219.0,-111.0,-347.0
16312.0,1536.0,2480.0,-10.0,5524.0,-4703.0,-221.0,-114.0,-344.0
15088.0,888.0,2432.0,-858.0,3523.0,-2586.0,-221.0,-116.0,-352.0
14400.0,784.0,2320.0,3533.0,-966.0,2163.0,-219.0,-116.0,-357.0
14904.0,1472.0,2616.0,4732.0,-4895.0,8228.0,-216.0,-116.0,-357.0
16480.0,2528.0,3128.0,8874.0,-6483.0,8624.0,-228.0,-110.0,-350.0
16952.0,2560.0,3448.0,8852.0,-5129.0,6955.0,-221.0,-111.0,-342.0
16512.0,2904.0,3408.0,13013.0,-3628.0,5148.0,-237.0,-106.0,-344.0
15232.0,2264.0,3360.0,11239.0,-4363.0,3047.0,-229.0,-124.0,-334.0
14712.0,2096.0,3424.0,7449.0,-5563.0,2391.0,-241.0,-118.0,-333.0
15376.0,2624.0,3712.0,9742.0,-4858.0,2552.0,-235.0,-121.0,-327.0
