ax,ay,az,gx,gy,gz,mx,my,mz
-14704.0,1376.0,7392.0,-4599.0,-2831.0,-86.0,249.0,173.0,-395.0
-14768.0,2016.0,6816.0,-8511.0,-1585.0,3.0,239.0,178.0,-397.0
-14640.0,3392.0,4504.0,-16549.0,-790.0,-1587.0,241.0,178.0,-392.0
-13008.0,2032.0,3600.0,-25154.0,-4485.0,-9818.0,235.0,202.0,-398.0
-14088.0,-64.0,4696.0,-21671.0,-16406.0,-14667.0,229.0,219.0,-403.0
-11400.0,-3032.0,5232.0,-13781.0,-22956.0,-8805.0,219.0,244.0,-406.0
-8320.0,-7344.0,8376.0,-12203.0,-25253.0,-18058.0,180.0,263.0,-410.0
-8480.0,-7960.0,11424.0,-16594.0,-30549.0,-23157.0,158.0,277.0,-421.0
-6024.0,-9632.0,15424.0,-5572.0,-32768.0,-11641.0,135.0,283.0,-420.0
-4064.0,-8232.0,17200.0,-1873.0,-28149.0,-5261.0,92.0,290.0,-405.0
-1552.0,-7088.0,18592.0,-108.0,-23598.0,-8226.0,58.0,303.0,-412.0
1048.0,-8832.0,20944.0,7660.0,-16092.0,-18644.0,31.0,300.0,-407.0
1184.0,-9736.0,20944.0,8552.0,-1677.0,-20994.0,22.0,291.0,-408.0
5240.0,-10968.0,19240.0,22096.0,6184.0,-27939.0,7.0,278.0,-395.0
2504.0,-11272.0,19688.0,27081.0,21266.0,-32768.0,7.0,245.0,-400.0
2688.0,-12896.0,16824.0,32767.0,32701.0,-32768.0,15.0,201.0,-412.0
-408.0,-12600.0,12472.0,32767.0,32743.0,-31074.0,81.0,150.0,-398.0
-5072.0,-9760.0,10928.0,32767.0,30171.0,-12904.0,126.0,113.0,-396.0
-6912.0,736.0,8072.0,25573.0,22279.0,-1514.0,159.0,72.0,-365.0
-6344.0,-208.0,12128.0,30598.0,15099.0,-15416.0,173.0,58.0,-346.0
-8200.0,1304.0,11920.0,31431.0,20662.0,-14298.0,204.0,37.0,-322.0
-9616.0,5336.0,7976.0,29287.0,19331.0,-10303.0,232.0,26.0,-276.0
-10464.0,5368.0,6104.0,17424.0,8838.0,-11176.0,249.0,24.0,-267.0
-9520.0,2488.0,5456.0,14464.0,4316.0,-10798.0,260.0,7.0,-237.0
-9632.0,4496.0,3672.0,11185.0,3648.0,-5464.0,277.0,13.0,-226.0
-11296.0,6408.0,5824.0,-146.0,-4990.0,-4563.0,293.0,21.0,-218.0
-16880.0,3664.0,10936.0,2779.0,-3880.0,-2972.0,300.0,17.0,-212.0
-17616.0,6488.0,9824.0,9538.0,2223.0,4491.0,296.0,23.0,-218.0
-16920.0,12000.0,7792.0,4277.0,5604.0,12071.0,308.0,27.0,-207.0
-11424.0,17440.0,3424.0,1985.0,5741.0,10539.0,308.0,12.0,-207.0
-19000.0,14944.0,7208.0,-2816.0,-1026.0,6195.0,288.0,11.0,-198.0
-16720.0,21880.0,5928.0,-12973.0,3691.0,3146.0,304.0,-3.0,-196.0
-19336.0,16504.0,7072.0,7813.0,-4906.0,-15951.0,284.0,-4.0,-207.0
-20064.0,6504.0,8320.0,-25726.0,-15397.0,32767.0,288.0,1.0,-223.0
-16040.0,10672.0,12944.0,-32768.0,-14124.0,32767.0,215.0,-7.0,-267.0
-21296.0,8672.0,13552.0,-32768.0,-16826.0,32767.0,158.0,1.0,-313.0
-16048.0,7112.0,10312.0,-32768.0,-15945.0,32767.0,99.0,33.0,-363.0
-13536.0,6880.0,11784.0,-32768.0,-19201.0,32767.0,19.0,88.0,-401.0
-11936.0,4872.0,12760.0,-32768.0,-23467.0,32767.0,-10.0,178.0,-420.0
-11528.0,-160.0,9384.0,-32768.0,-27345.0,32535.0,-42.0,265.0,-392.0
-7336.0,-5536.0,3392.0,-32768.0,-31855.0,32767.0,-57.0,326.0,-358.0
-4528.0,-5080.0,2112.0,-32768.0,-32768.0,27893.0,-54.0,376.0,-303.0
-1768.0,-1840.0,-136.0,-32768.0,-32768.0,7586.0,-51.0,408.0,-233.0
2632.0,-600.0,-7640.0,-32768.0,-30307.0,-9683.0,-51.0,418.0,-161.0
5728.0,1832.0,-11528.0,-32768.0,-27428.0,-13773.0,-39.0,404.0,-102.0
10560.0,-992.0,-16560.0,-32768.0,-17949.0,-21134.0,-33.0,361.0,-43.0
12984.0,-1360.0,-21032.0,-32768.0,-1988.0,-31609.0,-34.0,310.0,-2.0
17824.0,-3032.0,-24024.0,-32768.0,3951.0,-27634.0,-33.0,252.0,26.0
20344.0,-5472.0,-24520.0,-32768.0,10952.0,-15912.0,-30.0,195.0,18.0
18456.0,304.0,-26680.0,-32768.0,24475.0,-15796.0,-47.0,144.0,-0.0
16816.0,3568.0,-29056.0,-32768.0,32693.0,-16965.0,-47.0,111.0,-37.0
19896.0,432.0,-30624.0,-32768.0,32767.0,-10419.0,-69.0,77.0,-85.0
19624.0,-8512.0,-27936.0,-32768.0,32767.0,338.0,-59.0,55.0,-168.0
20816.0,-3432.0,-22032.0,-17053.0,32767.0,10188.0,-55.0,59.0,-227.0
22520.0,-840.0,-17824.0,-4175.0,32767.0,12532.0,-54.0,63.0,-253.0
17776.0,744.0,-13984.0,5958.0,32767.0,14495.0,-31.0,69.0,-290.0
11368.0,-1496.0,-12080.0,20086.0,32767.0,15722.0,-15.0,69.0,-322.0
12384.0,-2008.0,-8960.0,32767.0,32767.0,15138.0,11.0,63.0,-328.0
10176.0,-1064.0,-4408.0,32767.0,32767.0,3804.0,33.0,53.0,-316.0
8760.0,4376.0,-4744.0,32767.0,32767.0,496.0,57.0,28.0,-288.0
5344.0,11952.0,-4896.0,32767.0,32767.0,1607.0,69.0,2.0,-255.0
3544.0,11984.0,-4016.0,32767.0,32767.0,-28.0,91.0,-3.0,-211.0
-1200.0,18952.0,-1592.0,32767.0,32767.0,3438.0,107.0,-3.0,-183.0
712.0,21904.0,4400.0,23874.0,32767.0,4241.0,99.0,-3.0,-156.0
1536.0,20944.0,-48.0,13770.0,32767.0,6153.0,91.0,-6.0,-133.0
-2016.0,21688.0,528.0,9725.0,32767.0,8476.0,81.0,-6.0,-138.0
1768.0,26688.0,1192.0,26.0,32767.0,24155.0,65.0,-6.0,-141.0
4176.0,26920.0,-2048.0,-13336.0,32767.0,32767.0,30.0,-3.0,-158.0
3800.0,30896.0,-3568.0,-26788.0,32767.0,32767.0,-15.0,29.0,-217.0
-5304.0,30544.0,-256.0,-32601.0,32767.0,32767.0,-65.0,70.0,-283.0
1024.0,24648.0,6448.0,-29238.0,28948.0,32767.0,-82.0,134.0,-337.0
11664.0,21184.0,12128.0,-31059.0,26823.0,32767.0,-85.0,178.0,-355.0
10624.0,16840.0,12856.0,-32768.0,32767.0,32767.0,-82.0,233.0,-397.0
3136.0,9224.0,10400.0,-32768.0,32767.0,32767.0,-23.0,280.0,-397.0
280.0,5640.0,10408.0,-31762.0,32767.0,32767.0,6.0,331.0,-408.0
-6440.0,4832.0,9296.0,-32768.0,32767.0,32767.0,71.0,372.0,-395.0
-8576.0,4464.0,9000.0,-32768.0,27885.0,25480.0,119.0,390.0,-372.0
-7664.0,5048.0,8944.0,-32548.0,21807.0,9441.0,163.0,426.0,-321.0
-7024.0,3504.0,6104.0,-32768.0,20940.0,-4983.0,183.0,439.0,-275.0
-6768.0,464.0,384.0,-32768.0,17816.0,-12018.0,175.0,452.0,-230.0
-5120.0,-1248.0,-4648.0,-32768.0,12877.0,-20073.0,162.0,454.0,-185.0
-3560.0,-3672.0,-11952.0,-32768.0,8508.0,-26926.0,139.0,448.0,-113.0
-5976.0,-11464.0,-17840.0,-32768.0,-41.0,-24785.0,112.0,428.0,-61.0
-3088.0,-18528.0,-14920.0,-32768.0,-10707.0,-23993.0,86.0,396.0,-11.0
6808.0,-15032.0,-13424.0,-32768.0,-2843.0,-26311.0,78.0,373.0,11.0
8600.0,-11952.0,-14552.0,-32768.0,16356.0,-31114.0,62.0,334.0,43.0
8088.0,-12008.0,-20800.0,-32768.0,29106.0,-32768.0,27.0,299.0,36.0
9552.0,-12040.0,-24160.0,-32768.0,31743.0,-32768.0,-6.0,262.0,38.0
13048.0,-14984.0,-25072.0,-32768.0,31598.0,-25591.0,-30.0,214.0,31.0
13712.0,-14056.0,-26152.0,-32768.0,32767.0,-24699.0,-53.0,176.0,2.0
15032.0,-11760.0,-23568.0,-31535.0,32767.0,-12579.0,-69.0,136.0,-27.0
11920.0,-12224.0,-20648.0,-24221.0,32767.0,-4510.0,-87.0,111.0,-72.0
16184.0,-9960.0,-19616.0,-7123.0,32767.0,-4649.0,-87.0,91.0,-115.0
20328.0,-6584.0,-14952.0,3595.0,32767.0,-2238.0,-96.0,95.0,-158.0
16912.0,-4200.0,-12856.0,8136.0,32767.0,-557.0,-86.0,88.0,-181.0
15888.0,-4408.0,-9616.0,10286.0,32767.0,-1436.0,-81.0,83.0,-216.0
13960.0,-5520.0,-6376.0,20095.0,32767.0,-7956.0,-65.0,83.0,-246.0
15424.0,-4960.0,-3752.0,27366.0,32767.0,-3794.0,-54.0,65.0,-248.0
14320.0,-2648.0,-3544.0,32767.0,32767.0,190.0,-19.0,48.0,-256.0
10344.0,-1720.0,-2992.0,32767.0,32767.0,2182.0,-7.0,49.0,-255.0
12352.0,208.0,-2520.0,32767.0,32767.0,3667.0,-0.0,29.0,-245.0
8776.0,7304.0,-2160.0,32767.0,32767.0,7292.0,3.0,26.0,-218.0
8432.0,11744.0,-1448.0,32767.0,32483.0,8816.0,11.0,23.0,-196.0
10872.0,12184.0,456.0,32767.0,31351.0,3235.0,11.0,28.0,-168.0
5488.0,18952.0,480.0,32767.0,27418.0,-5354.0,6.0,21.0,-143.0
8480.0,20696.0,1352.0,27116.0,27455.0,-6754.0,11.0,18.0,-131.0
7576.0,21488.0,1440.0,21182.0,29745.0,-7907.0,7.0,19.0,-125.0
7400.0,19544.0,1072.0,13305.0,32767.0,-9644.0,15.0,19.0,-117.0
7736.0,17744.0,-4224.0,9792.0,32767.0,-5683.0,13.0,9.0,-127.0
5360.0,21808.0,-6600.0,3918.0,32767.0,8865.0,11.0,11.0,-133.0
1192.0,32767.0,-5928.0,-11612.0,32767.0,32320.0,-5.0,7.0,-157.0
-2704.0,32767.0,-5480.0,-32768.0,32767.0,32767.0,-23.0,12.0,-190.0
-600.0,28480.0,-5344.0,-32768.0,32767.0,32767.0,-77.0,77.0,-312.0
-2528.0,24712.0,-688.0,-32768.0,32767.0,32767.0,-69.0,159.0,-367.0
-2640.0,15400.0,5536.0,-32768.0,28753.0,23995.0,-54.0,222.0,-408.0
1056.0,11624.0,9072.0,-32768.0,19731.0,22972.0,-33.0,259.0,-408.0
1280.0,6584.0,9320.0,-32768.0,19106.0,18501.0,-7.0,318.0,-410.0
-1472.0,4816.0,8736.0,-32768.0,16671.0,12766.0,15.0,362.0,-395.0
-2560.0,3392.0,8232.0,-32768.0,18205.0,17012.0,42.0,392.0,-365.0
-4496.0,1984.0,5528.0,-32768.0,17117.0,18923.0,66.0,422.0,-332.0
-5448.0,464.0,2432.0,-32768.0,12378.0,7097.0,98.0,452.0,-275.0
-3744.0,-5592.0,-4888.0,-32768.0,9426.0,-2460.0,98.0,459.0,-205.0
-3672.0,-12904.0,-10824.0,-32768.0,9037.0,-8145.0,94.0,453.0,-141.0
-1912.0,-12016.0,-12992.0,-32768.0,7349.0,-19736.0,87.0,437.0,-82.0
-1224.0,-20880.0,-14448.0,-32768.0,6147.0,-15212.0,74.0,414.0,-52.0
-1688.0,-25568.0,-11280.0,-32505.0,2163.0,-15899.0,57.0,386.0,-13.0
2592.0,-15384.0,-13008.0,-24737.0,8598.0,-17750.0,42.0,360.0,2.0
2608.0,-16408.0,-15264.0,-23750.0,13352.0,-16109.0,38.0,351.0,8.0
2176.0,-18232.0,-16120.0,-20646.0,17208.0,-19391.0,25.0,344.0,21.0
4176.0,-15856.0,-17304.0,-18813.0,20237.0,-24803.0,-21.0,290.0,20.0
5792.0,-13632.0,-17472.0,-19346.0,20197.0,-19827.0,-45.0,263.0,15.0
8864.0,-12256.0,-16232.0,-17029.0,20462.0,-17841.0,-57.0,234.0,3.0
12552.0,-9400.0,-16680.0,-18155.0,25138.0,-17383.0,-79.0,213.0,-12.0
13864.0,-8376.0,-17304.0,-17671.0,30404.0,-18708.0,-90.0,196.0,-30.0
15752.0,-5896.0,-16608.0,-18150.0,32767.0,-21049.0,-107.0,172.0,-56.0
13632.0,-7456.0,-16448.0,-20312.0,32767.0,-12441.0,-115.0,142.0,-103.0
20272.0,-9952.0,-12600.0,-9022.0,32126.0,-7485.0,-124.0,126.0,-137.0
18200.0,-7096.0,-13184.0,-1666.0,32767.0,-7733.0,-112.0,114.0,-165.0
19152.0,-6656.0,-10696.0,5533.0,32767.0,-2812.0,-99.0,115.0,-208.0
17448.0,-4968.0,-6888.0,13324.0,32767.0,-3147.0,-88.0,103.0,-233.0
17968.0,-4808.0,-2720.0,20681.0,32767.0,5690.0,-82.0,101.0,-267.0
17456.0,-3136.0,-2104.0,27460.0,32767.0,7091.0,-59.0,95.0,-288.0
15368.0,-2672.0,-248.0,32767.0,32767.0,4529.0,-49.0,90.0,-283.0
12680.0,-2256.0,2096.0,32767.0,32767.0,-813.0,-34.0,72.0,-282.0
6352.0,72.0,-392.0,32767.0,32767.0,-3764.0,-7.0,44.0,-282.0
4536.0,7264.0,1992.0,32767.0,32767.0,5127.0,15.0,29.0,-260.0
8632.0,7872.0,4208.0,32767.0,32767.0,10192.0,23.0,14.0,-235.0
6424.0,8080.0,3400.0,32767.0,32767.0,10615.0,33.0,11.0,-211.0
7024.0,15184.0,3216.0,31713.0,32767.0,9731.0,26.0,-0.0,-192.0
6288.0,17624.0,2552.0,18930.0,32767.0,16308.0,15.0,9.0,-190.0
176.0,18024.0,1864.0,5729.0,32767.0,31121.0,22.0,8.0,-201.0
1944.0,19848.0,2624.0,2284.0,32767.0,32767.0,-9.0,36.0,-218.0
4496.0,31104.0,3992.0,-8267.0,32767.0,32767.0,-41.0,43.0,-248.0
8968.0,32767.0,4936.0,-25252.0,32767.0,32767.0,-67.0,83.0,-291.0
6904.0,28032.0,6144.0,-32768.0,32767.0,32767.0,-86.0,130.0,-331.0
4912.0,19376.0,9544.0,-32768.0,32767.0,32767.0,-67.0,185.0,-381.0
