14:52:06.549 -> Raw:-16592,00936,-00048,00037,-00138,00138,00161,-00192,-00285
14:52:06.549 -> Raw:-16272,00880,00192,00111,-00118,00303,00162,-00188,-00291
14:52:06.592 -> Raw:-17176,00600,00016,-00207,-00521,00228,00156,-00187,-00300
14:52:06.627 -> Raw:-16480,00824,-00320,00223,00031,00473,00154,-00188,-00284
14:52:06.674 -> Raw:-16424,01088,-00032,00012,00284,00451,00153,-00187,-00290
14:52:06.708 -> Raw:-16688,00760,00024,-00584,00380,-00284,00149,-00188,-00291
14:52:06.755 -> Raw:-16464,00560,-00168,00340,00215,00488,00156,-00180,-00293
14:52:06.755 -> Raw:-16528,00992,00024,00055,00112,00140,00152,-00191,-00294
14:52:06.793 -> Raw:-16232,01040,-00112,00210,00024,00087,00162,-00183,-00289
14:52:06.839 -> Raw:-16168,00824,-00152,00255,-00253,00051,00150,-00190,-00288
14:52:06.877 -> Raw:-16256,00800,-00320,00042,-00287,00219,00161,-00192,-00295
14:52:06.924 -> Raw:-16632,00992,-00232,00096,-00062,00240,00148,-00187,-00285
14:52:06.971 -> Raw:-16432,00944,-00224,-00445,00443,00111,00158,-00187,-00285
14:52:06.971 -> Raw:-16688,00880,00248,-00338,-00069,00327,00153,-00187,-00288
14:52:07.009 -> Raw:-16496,00584,-00200,-00206,00258,-00234,00158,-00199,-00288
14:52:07.056 -> Raw:-16560,00880,-00256,00226,00025,00274,00157,-00193,-00296
14:52:07.094 -> Raw:-16296,00936,-00040,-00025,00168,00116,00158,-00180,-00290
14:52:07.143 -> Raw:-16392,00840,-00472,-00331,00337,-00074,00158,-00182,-00288
14:52:07.176 -> Raw:-16608,00856,-00096,-00350,00409,-00098,00148,-00190,-00295
14:52:07.216 -> Raw:-16448,00960,-00008,00195,-00160,00398,00148,-00192,-00285
14:52:07.263 -> Raw:-16384,00904,-00280,-00015,-00209,00389,00164,-00187,-00290
14:52:07.263 -> Raw:-16520,00816,-00336,-00324,00215,-00307,00156,-00192,-00290
14:52:07.310 -> Raw:-16504,00984,-00072,00037,-00321,00550,00160,-00183,-00296
14:52:07.357 -> Raw:-16416,00896,-00384,-00497,00569,00072,00156,-00195,-00288
14:52:07.395 -> Raw:-16352,00912,-00152,00247,00252,00291,00152,-00186,-00286
14:52:07.395 -> Raw:-16608,00856,-00032,-00221,-00314,00334,00153,-00187,-00295
14:52:07.435 -> Raw:-16712,00752,00064,-00026,-00459,00173,00154,-00188,-00286
14:52:07.495 -> Raw:-16712,00848,-00128,-00528,00434,00081,00158,-00185,-00280
