ax,ay,az,gx,gy,gz,mx,my,mz
-3184.0,12448.0,960.0,11445.0,-17824.0,32767.0,-60.0,-321.0,-375.0
-944.0,15040.0,2320.0,12799.0,-14230.0,32767.0,-91.0,-353.0,-372.0
416.0,16928.0,5064.0,7759.0,-6191.0,32767.0,-158.0,-376.0,-346.0
2200.0,19040.0,5064.0,645.0,3047.0,32767.0,-192.0,-381.0,-354.0
4512.0,24408.0,4120.0,-4074.0,8204.0,24731.0,-216.0,-391.0,-341.0
5512.0,25144.0,6088.0,-1145.0,12423.0,12439.0,-224.0,-383.0,-349.0
8472.0,25512.0,7096.0,-6236.0,18153.0,2591.0,-227.0,-386.0,-356.0
9352.0,28656.0,11432.0,-16707.0,30332.0,-13993.0,-215.0,-382.0,-375.0
13608.0,32767.0,15584.0,-29454.0,32767.0,-32768.0,-169.0,-359.0,-388.0
15440.0,32767.0,12408.0,-32768.0,32767.0,-32768.0,-107.0,-345.0,-404.0
12520.0,18728.0,1056.0,-21278.0,32767.0,-32768.0,13.0,-282.0,-375.0
1616.0,7088.0,-5648.0,-10143.0,32767.0,-32768.0,49.0,-242.0,-355.0
-5592.0,7128.0,-5872.0,-2648.0,32767.0,-32768.0,68.0,-161.0,-288.0
-5856.0,4608.0,-6568.0,-1638.0,31506.0,-32768.0,72.0,-128.0,-267.0
-4792.0,-1544.0,-7976.0,1333.0,31378.0,-32768.0,23.0,-76.0,-231.0
-2624.0,-2544.0,-10080.0,7650.0,26870.0,-32768.0,-7.0,-34.0,-206.0
936.0,-6000.0,-11640.0,13337.0,17847.0,-32768.0,-43.0,-1.0,-195.0
3768.0,-9232.0,-9856.0,7818.0,6923.0,-32768.0,-128.0,24.0,-198.0
9184.0,-13080.0,-6504.0,16392.0,-323.0,-32768.0,-194.0,22.0,-208.0
11176.0,-17752.0,-2432.0,22658.0,-2480.0,-32768.0,-249.0,19.0,-216.0
8896.0,-25136.0,-736.0,23504.0,1264.0,-32768.0,-297.0,1.0,-237.0
9216.0,-23376.0,384.0,30252.0,7287.0,-24021.0,-317.0,-17.0,-250.0
12344.0,-18760.0,928.0,32767.0,11820.0,-18106.0,-347.0,-40.0,-277.0
14016.0,-17048.0,2808.0,32767.0,12178.0,-20745.0,-351.0,-51.0,-313.0
13352.0,-18680.0,9040.0,32767.0,20972.0,-24785.0,-343.0,-100.0,-342.0
13640.0,-17336.0,12928.0,32767.0,31400.0,-20768.0,-341.0,-134.0,-380.0
14488.0,-14928.0,13736.0,32767.0,32767.0,-18615.0,-318.0,-180.0,-411.0
13560.0,-13680.0,14224.0,30154.0,32767.0,-16759.0,-280.0,-240.0,-422.0
10472.0,-11624.0,15728.0,20450.0,32767.0,-12749.0,-253.0,-268.0,-433.0
8696.0,-7848.0,15496.0,16938.0,32767.0,-5121.0,-208.0,-278.0,-436.0
