ax,ay,az,gx,gy,gz,mx,my,mz
-7792.0,13832.0,11616.0,27578.0,9069.0,-12846.0,-298.0,-113.0,291.0
-6976.0,13048.0,10408.0,3226.0,-1231.0,-4338.0,-293.0,-131.0,289.0
-1848.0,6816.0,14896.0,19031.0,-14735.0,-16528.0,-291.0,-117.0,290.0
8232.0,30192.0,7968.0,32767.0,-7845.0,-32186.0,-285.0,-131.0,299.0
-5904.0,11032.0,6304.0,32767.0,20059.0,-32454.0,-274.0,-151.0,319.0
-13584.0,4792.0,-1992.0,17384.0,32767.0,-18001.0,-233.0,-166.0,347.0
-16816.0,7648.0,2896.0,-2872.0,-4401.0,-15915.0,-213.0,-162.0,366.0
-12368.0,5904.0,3704.0,1072.0,-947.0,-10131.0,-197.0,-157.0,356.0
-13344.0,7552.0,3864.0,-4286.0,-10389.0,-11002.0,-189.0,-155.0,348.0
-13928.0,10296.0,3224.0,-10062.0,-5849.0,-15660.0,-186.0,-150.0,338.0
-14816.0,14568.0,3264.0,-24724.0,-9622.0,-30644.0,-187.0,-143.0,324.0
-13024.0,9968.0,3832.0,-23969.0,-17347.0,-32768.0,-160.0,-111.0,296.0
-10888.0,4624.0,3512.0,-9165.0,-25115.0,-32768.0,-144.0,-91.0,263.0
-4944.0,-40.0,8704.0,4948.0,-27396.0,-32768.0,-160.0,-56.0,243.0
-5256.0,-1136.0,18000.0,24141.0,-23527.0,-32768.0,-173.0,-47.0,244.0
-2648.0,-2192.0,24272.0,32767.0,-10236.0,-32768.0,-173.0,-50.0,231.0
-11312.0,-3424.0,27112.0,32767.0,-4651.0,-26006.0,-167.0,-82.0,249.0
-10096.0,-5528.0,27288.0,32767.0,6872.0,-19046.0,-155.0,-111.0,273.0
-6952.0,-4136.0,22552.0,32767.0,19124.0,-20220.0,-135.0,-127.0,313.0
-4632.0,-2440.0,18360.0,32767.0,25084.0,-19031.0,-106.0,-136.0,357.0
-6536.0,128.0,17496.0,32767.0,30466.0,-12888.0,-95.0,-141.0,431.0
-11136.0,1872.0,15728.0,32767.0,32767.0,-9315.0,-94.0,-127.0,476.0
-10880.0,-40.0,15528.0,28498.0,32767.0,-7853.0,-108.0,-97.0,539.0
-4880.0,6552.0,3400.0,27443.0,32767.0,-479.0,-129.0,-90.0,601.0
-5120.0,640.0,3120.0,17526.0,32767.0,20.0,-139.0,-71.0,625.0
-6392.0,-2520.0,3952.0,-1115.0,32767.0,-949.0,-198.0,-46.0,645.0
-2840.0,4168.0,760.0,-10530.0,32767.0,-3955.0,-255.0,-53.0,671.0
1632.0,5848.0,-5728.0,-8150.0,32767.0,223.0,-316.0,-52.0,659.0
9784.0,11128.0,-6168.0,-8617.0,32767.0,225.0,-359.0,-67.0,649.0
12352.0,16352.0,-16224.0,-26018.0,32767.0,-4585.0,-412.0,-61.0,617.0
10344.0,19480.0,-13256.0,-25933.0,32767.0,-12825.0,-429.0,-72.0,580.0
11616.0,23480.0,-15368.0,-20132.0,32767.0,-19719.0,-443.0,-92.0,560.0
13080.0,28144.0,-11136.0,3113.0,31323.0,-21433.0,-446.0,-115.0,527.0
12032.0,26312.0,-9400.0,424.0,21869.0,-27545.0,-432.0,-132.0,532.0
14072.0,26664.0,-13096.0,1064.0,18538.0,-32768.0,-432.0,-155.0,527.0
17744.0,23112.0,-12464.0,-3979.0,14254.0,-32768.0,-398.0,-173.0,505.0
18680.0,23632.0,-13904.0,-9156.0,7648.0,-32768.0,-348.0,-202.0,481.0
16048.0,22768.0,-13224.0,-5923.0,1878.0,-32768.0,-289.0,-222.0,458.0
11448.0,22352.0,-10576.0,-1795.0,-4363.0,-32768.0,-252.0,-216.0,441.0
6624.0,16896.0,-7816.0,2508.0,-10447.0,-32768.0,-156.0,-180.0,410.0
1984.0,10904.0,-5680.0,9994.0,-11279.0,-32768.0,-98.0,-143.0,390.0
400.0,7344.0,-6376.0,16769.0,-16224.0,-32768.0,-68.0,-108.0,383.0
-608.0,2920.0,-2416.0,18678.0,-18730.0,-32768.0,-33.0,-61.0,365.0
-1112.0,-1408.0,-1520.0,18438.0,-20912.0,-32768.0,-41.0,-11.0,345.0
-1120.0,-5800.0,2248.0,12311.0,-22337.0,-32768.0,-43.0,35.0,315.0
-1880.0,-6096.0,4528.0,16635.0,-20585.0,-32768.0,-52.0,71.0,299.0
1408.0,-5368.0,5696.0,27356.0,-21915.0,-32768.0,-94.0,107.0,269.0
7696.0,-8752.0,9112.0,32306.0,-23782.0,-32768.0,-135.0,117.0,241.0
12184.0,-12792.0,14168.0,32767.0,-24848.0,-32768.0,-162.0,127.0,226.0
13104.0,-13112.0,20368.0,32767.0,-17480.0,-32768.0,-216.0,102.0,196.0
11776.0,-13776.0,26896.0,32767.0,-2184.0,-32768.0,-245.0,77.0,180.0
9120.0,-15952.0,31416.0,32767.0,13985.0,-26412.0,-247.0,23.0,189.0
10600.0,-12176.0,30072.0,32767.0,24707.0,-20113.0,-244.0,-8.0,182.0
12784.0,-3936.0,31184.0,32767.0,27078.0,-20788.0,-206.0,-58.0,205.0
9104.0,-3872.0,31064.0,32767.0,32484.0,-21063.0,-170.0,-95.0,239.0
3744.0,-4312.0,31784.0,32767.0,32767.0,-13626.0,-154.0,-110.0,264.0
3024.0,2416.0,25544.0,26520.0,32767.0,-8698.0,-106.0,-128.0,327.0
2344.0,9744.0,20520.0,18522.0,32767.0,-10600.0,-90.0,-131.0,380.0
264.0,7584.0,22296.0,-1129.0,32767.0,-16419.0,-63.0,-121.0,444.0
6336.0,1976.0,21008.0,-1738.0,32767.0,-12777.0,-81.0,-105.0,496.0
10704.0,4168.0,9408.0,-3030.0,32767.0,-2266.0,-120.0,-101.0,566.0
8624.0,9048.0,7216.0,-18635.0,32767.0,-2412.0,-171.0,-98.0,620.0
12040.0,11032.0,-312.0,-21253.0,32767.0,-2147.0,-224.0,-110.0,634.0
9304.0,17616.0,-6176.0,-31065.0,32767.0,-4631.0,-302.0,-120.0,631.0
8472.0,21616.0,-11808.0,-25492.0,32767.0,-11830.0,-346.0,-130.0,601.0
10704.0,22200.0,-15080.0,-16674.0,32767.0,-15522.0,-371.0,-143.0,574.0
7584.0,23640.0,-12016.0,-19707.0,32767.0,-28253.0,-383.0,-147.0,550.0
6904.0,26984.0,-7616.0,-23420.0,32767.0,-32768.0,-364.0,-162.0,517.0
6216.0,29800.0,-9304.0,-24676.0,32767.0,-32768.0,-333.0,-173.0,485.0
7192.0,31584.0,-7080.0,-21265.0,29961.0,-32768.0,-306.0,-191.0,474.0
