15:24:40.146 -> Initialization of the sensor returned: All is well.
15:24:40.146 -> Waiting for data
15:24:40.647 -> Raw:32767,-13512,01696,05600,-29138,-32768,-00228,-00073,-00293
15:24:40.694 -> Raw:23024,-18936,02104,-15428,-31577,-32768,-00229,-00126,-00284
15:24:40.694 -> Raw:24072,-26408,-01664,-00132,-04583,31420,-00231,-00127,-00262
15:24:40.747 -> Raw:24800,-07336,01928,23107,-06327,32767,-00228,-00090,-00267
15:24:40.794 -> Raw:28136,00272,02816,10281,11731,32767,-00228,-00043,-00267
15:24:40.794 -> Raw:19880,03144,02792,32767,32767,32767,-00219,-00024,-00269
15:24:40.848 -> Raw:09464,02440,01840,04660,32767,23081,-00197,00012,-00309
15:24:40.848 -> Raw:09408,00888,-00376,08423,32767,-07165,-00175,00008,-00328
15:24:40.894 -> Raw:08136,-04072,-01320,-32768,25801,-32768,-00171,00002,-00337
15:24:40.941 -> Raw:11432,-17840,-06536,-32768,-13275,32767,-00158,00008,-00330
15:24:40.941 -> Raw:08536,-04152,-00096,32767,-20667,02243,-00166,00021,-00338
15:24:40.984 -> Raw:10568,-06760,00800,-12449,-25885,-16424,-00160,00009,-00327
15:24:41.031 -> Raw:11488,-07872,01736,21480,-32768,-32768,-00171,00002,-00309
15:24:41.079 -> Raw:12312,-08856,01784,-09596,-29634,-32768,-00199,-00018,-00308
15:24:41.079 -> Raw:32767,-03064,00632,14429,-26426,-32768,-00203,-00019,-00279
15:24:41.127 -> Raw:24856,-07960,01088,-09627,-24853,-32768,-00207,-00026,-00272
15:24:41.127 -> Raw:17216,-11600,01528,11989,-16876,-30162,-00236,-00048,-00257
15:24:41.164 -> Raw:20064,-11288,01360,-04568,-05003,03469,-00255,-00058,-00250
15:24:41.211 -> Raw:15600,-07672,02224,-09035,08531,27991,-00239,-00048,-00250
15:24:41.249 -> Raw:16792,-03624,02688,-14193,24714,32767,-00228,-00036,-00247
15:24:41.295 -> Raw:20232,-00448,00816,21800,32767,32767,-00216,-00019,-00271
15:24:41.295 -> Raw:08896,-01680,01544,-17650,32767,-09009,-00203,-00012,-00299
