11:49:23.692 -> Raw:-14112,01752,01656,-29426,27642,-17797,00212,-00093,-00001
11:49:23.728 -> Raw:-15584,-00496,-00304,-18898,20372,-17247,00227,-00065,00020
11:49:23.766 -> Raw:-16128,-02632,-02152,-05541,11387,-16667,00239,-00036,00023
11:49:23.804 -> Raw:-15408,-04440,-02352,04267,02828,-14001,00249,-00023,00036
11:49:23.842 -> Raw:-13928,-04280,-01424,15548,-01853,-11660,00241,-00018,00033
11:49:23.842 -> Raw:-13504,-05056,02440,32522,-06119,-06276,00243,-00012,00035
11:49:23.880 -> Raw:-15688,-08480,08512,32767,-06670,02176,00220,-00028,00016
11:49:23.920 -> Raw:-15784,-04760,09928,32767,-04747,01662,00235,-00092,00012
11:49:23.952 -> Raw:-19072,-04808,17080,32767,04049,-01663,00220,-00133,00016
11:49:23.990 -> Raw:-17760,-09200,13552,32767,13555,-01525,00229,-00177,00045
11:49:24.028 -> Raw:-15840,-11320,08792,32767,17439,07416,00228,-00203,00094
11:49:24.066 -> Raw:-13824,-08120,03128,32767,15783,07838,00233,-00226,00122
11:49:24.066 -> Raw:-10512,-09640,00816,32767,16264,12553,00221,-00247,00173
11:49:24.104 -> Raw:-13056,-06496,-01752,32767,20315,20375,00215,-00256,00210
11:49:24.137 -> Raw:-12040,-02240,-00864,27813,22523,23029,00203,-00265,00251
11:49:24.171 -> Raw:-10872,04504,-01040,01685,31553,20582,00175,-00263,00290
11:49:24.207 -> Raw:-10448,05144,-01744,-10717,32767,21695,00142,-00271,00310
11:49:24.245 -> Raw:-07184,03832,-04440,-23672,32767,26363,00093,-00285,00311
11:49:24.283 -> Raw:-04744,02760,-02944,-32015,32767,29630,00057,-00301,00300
11:49:24.283 -> Raw:03008,10688,-02848,-19375,32767,32767,00024,-00307,00289
11:49:24.320 -> Raw:04784,17912,-02200,-21288,27924,31843,-00030,-00306,00267
11:49:24.354 -> Raw:06456,24104,-03184,-23046,28147,23694,-00058,-00302,00241
11:49:24.388 -> Raw:09312,32767,-03736,-20518,23466,09055,-00090,-00310,00213
11:49:24.421 -> Raw:08984,32767,-01392,-19566,24212,-13467,-00100,-00313,00187
11:49:24.455 -> Raw:08160,32767,05544,-17119,28925,-30485,-00076,-00323,00157
11:49:24.493 -> Raw:05808,32352,04720,-23556,32767,-32768,-00041,-00333,00109
11:49:24.526 -> Raw:03912,27368,-01072,-26192,32767,-32768,00054,-00313,00054
11:49:24.564 -> Raw:-00432,24088,-04664,-26293,32767,-32768,00134,-00286,00018
11:49:24.564 -> Raw:-02112,21760,-02488,-25621,32767,-32768,00201,-00246,00013
11:49:24.602 -> Raw:-02608,20344,-02448,-26738,32767,-32768,00257,-00181,00026
11:49:24.640 -> Raw:-01104,20496,-03944,-24684,32767,-32768,00291,-00125,00052
11:49:24.678 -> Raw:00480,19104,-02000,-21033,32767,-32768,00312,-00055,00085
11:49:24.716 -> Raw:02032,15792,03536,-14110,32767,-32768,00304,00012,00135
11:49:24.716 -> Raw:06680,05192,06520,00905,32767,-32768,00272,00055,00183
11:49:24.751 -> Raw:13280,-00808,00936,16701,32767,-32768,00184,00130,00216
11:49:24.789 -> Raw:17832,-07200,-03544,19979,32767,-32768,00120,00162,00221
11:49:24.824 -> Raw:18240,-14944,-07056,16435,32767,-32768,00046,00166,00205
11:49:24.861 -> Raw:15784,-20672,-09232,20790,25675,-32768,-00004,00158,00184
11:49:24.897 -> Raw:14560,-16360,-02120,29550,22785,-22645,-00040,00145,00171
11:49:24.931 -> Raw:16520,-19744,00992,32767,28307,-15119,-00050,00150,00148
11:49:24.965 -> Raw:19176,-29040,04496,32767,32767,-06992,-00066,00135,00080
11:49:25.003 -> Raw:19464,-31232,03968,32767,32767,05833,-00049,00111,00018
11:49:25.003 -> Raw:18216,-27384,10160,32767,32767,10093,-00034,00082,-00015
11:49:25.041 -> Raw:13880,-25232,14232,32767,32767,11362,00040,00015,-00070
11:49:25.079 -> Raw:11912,-22712,14720,23727,32767,18635,00068,-00011,-00074
11:49:25.117 -> Raw:11040,-14928,13952,16947,32767,21058,00118,-00058,-00069
