11:32:10.119 -> Raw:-14704,01376,07392,-04599,-02831,-00086,00249,00173,-00395
11:32:10.153 -> Raw:-14768,02016,06816,-08511,-01585,00003,00239,00178,-00397
11:32:10.187 -> Raw:-14640,03392,04504,-16549,-00790,-01587,00241,00178,-00392
11:32:10.223 -> Raw:-13008,02032,03600,-25154,-04485,-09818,00235,00202,-00398
11:32:10.257 -> Raw:-14088,-00064,04696,-21671,-16406,-14667,00229,00219,-00403
11:32:10.297 -> Raw:-11400,-03032,05232,-13781,-22956,-08805,00219,00244,-00406
11:32:10.332 -> Raw:-08320,-07344,08376,-12203,-25253,-18058,00180,00263,-00410
11:32:10.366 -> Raw:-08480,-07960,11424,-16594,-30549,-23157,00158,00277,-00421
11:32:10.400 -> Raw:-06024,-09632,15424,-05572,-32768,-11641,00135,00283,-00420
11:32:10.400 -> Raw:-04064,-08232,17200,-01873,-28149,-05261,00092,00290,-00405
11:32:10.437 -> Raw:-01552,-07088,18592,-00108,-23598,-08226,00058,00303,-00412
11:32:10.474 -> Raw:01048,-08832,20944,07660,-16092,-18644,00031,00300,-00407
11:32:10.511 -> Raw:01184,-09736,20944,08552,-01677,-20994,00022,00291,-00408
11:32:10.544 -> Raw:05240,-10968,19240,22096,06184,-27939,00007,00278,-00395
11:32:10.582 -> Raw:02504,-11272,19688,27081,21266,-32768,00007,00245,-00400
11:32:10.617 -> Raw:02688,-12896,16824,32767,32701,-32768,00015,00201,-00412
11:32:10.652 -> Raw:-00408,-12600,12472,32767,32743,-31074,00081,00150,-00398
11:32:10.652 -> Raw:-05072,-09760,10928,32767,30171,-12904,00126,00113,-00396
11:32:10.685 -> Raw:-06912,00736,08072,25573,22279,-01514,00159,00072,-00365
11:32:10.723 -> Raw:-06344,-00208,12128,30598,15099,-15416,00173,00058,-00346
11:32:10.759 -> Raw:-08200,01304,11920,31431,20662,-14298,00204,00037,-00322
11:32:10.793 -> Raw:-09616,05336,07976,29287,19331,-10303,00232,00026,-00276
11:32:10.826 -> Raw:-10464,05368,06104,17424,08838,-11176,00249,00024,-00267
11:32:10.859 -> Raw:-09520,02488,05456,14464,04316,-10798,00260,00007,-00237
11:32:10.897 -> Raw:-09632,04496,03672,11185,03648,-05464,00277,00013,-00226
11:32:10.935 -> Raw:-11296,06408,05824,-00146,-04990,-04563,00293,00021,-00218
11:32:10.935 -> Raw:-16880,03664,10936,02779,-03880,-02972,00300,00017,-00212
11:32:10.972 -> Raw:-17616,06488,09824,09538,02223,04491,00296,00023,-00218
11:32:11.010 -> Raw:-16920,12000,07792,04277,05604,12071,00308,00027,-00207
