11:46:36.465 -> Raw:-00304,-09432,13608,-00138,00091,00020,-00185,-00123,-00371
11:46:36.503 -> Raw:-00560,-09584,13544,-00112,00088,00086,-00173,-00125,-00360
11:46:36.537 -> Raw:-00392,-09552,13432,-00259,00025,00139,-00178,-00125,-00365
11:46:36.537 -> Raw:-00360,-09488,13504,-00482,00439,-00061,-00179,-00118,-00368
11:46:36.574 -> Raw:-00288,-09312,13544,-00254,00445,-00248,-00182,-00123,-00381
11:46:36.612 -> Raw:-00472,-09616,13432,-00476,00374,-00013,-00185,-00126,-00363
11:46:36.649 -> Raw:-00536,-09376,13448,-00450,00220,-00184,-00190,-00121,-00363
11:46:36.683 -> Raw:-00544,-09632,13448,-00462,00194,-00223,-00186,-00115,-00372
11:46:36.721 -> Raw:-00520,-09616,13480,-00327,00068,-00360,-00187,-00118,-00358
11:46:36.759 -> Raw:-00288,-09608,13520,-00413,00008,-00004,-00177,-00131,-00368
11:46:36.797 -> Raw:-00592,-09408,13560,-00269,00414,-00109,-00183,-00117,-00360
11:46:36.797 -> Raw:-00600,-09464,13400,-00357,00332,-00155,-00175,-00130,-00367
11:46:36.835 -> Raw:-00536,-09304,13512,-00583,00307,00016,-00185,-00121,-00371
11:46:36.873 -> Raw:-00584,-09536,13624,-00581,00483,-00097,-00187,-00126,-00371
11:46:36.906 -> Raw:-00432,-09624,13504,-00448,00330,-00035,-00181,-00134,-00370
11:46:36.942 -> Raw:-00432,-09520,13616,-00359,-00014,-00177,-00175,-00120,-00375
11:46:36.979 -> Raw:-00472,-09600,13552,-00238,00184,00117,-00185,-00126,-00373
11:46:37.016 -> Raw:-00400,-09688,13600,-00366,-00091,-00072,-00187,-00126,-00373
11:46:37.054 -> Raw:-00344,-09680,13688,-00351,00316,-00486,-00183,-00120,-00365
11:46:37.054 -> Raw:-00552,-09352,13528,-00391,00083,00196,-00183,-00122,-00372
11:46:37.092 -> Raw:-00472,-09592,13544,-00114,00468,-00151,-00183,-00120,-00375
11:46:37.126 -> Raw:-00408,-09520,13336,-00304,-00106,-00559,-00181,-00120,-00362
11:46:37.164 -> Raw:-00488,-09648,13528,-00358,00215,-00334,-00186,-00125,-00375
11:46:37.202 -> Raw:-00368,-09568,13256,-00536,-00109,-00053,-00182,-00128,-00363
11:46:37.240 -> Raw:-00400,-09520,13440,-00449,00320,00028,-00182,-00123,-00373
11:46:37.278 -> Raw:-00304,-09232,13528,-00453,-00096,-00441,-00179,-00123,-00368
11:46:37.278 -> Raw:-00408,-09424,13408,-00516,00302,-00231,-00183,-00122,-00367
11:46:37.316 -> Raw:-00520,-09432,13472,-00220,00078,-00271,-00179,-00126,-00368
11:46:37.354 -> Raw:-00520,-09528,13568,-00519,00460,00054,-00187,-00123,-00378
