10:56:14.505 -> Raw:-07792,13832,11616,27578,09069,-12846,-00298,-00113,00291
10:56:14.544 -> Raw:-06976,13048,10408,03226,-01231,-04338,-00293,-00131,00289
10:56:14.582 -> Raw:-01848,06816,14896,19031,-14735,-16528,-00291,-00117,00290
10:56:14.582 -> Raw:08232,30192,07968,32767,-07845,-32186,-00285,-00131,00299
10:56:14.615 -> Raw:-05904,11032,06304,32767,20059,-32454,-00274,-00151,00319
10:56:14.650 -> Raw:-13584,04792,-01992,17384,32767,-18001,-00233,-00166,00347
10:56:14.684 -> Raw:-16816,07648,02896,-02872,-04401,-15915,-00213,-00162,00366
10:56:14.727 -> Raw:-12368,05904,03704,01072,-00947,-10131,-00197,-00157,00356
10:56:14.756 -> Raw:-13344,07552,03864,-04286,-10389,-11002,-00189,-00155,00348
10:56:14.789 -> Raw:-13928,10296,03224,-10062,-05849,-15660,-00186,-00150,00338
10:56:14.827 -> Raw:-14816,14568,03264,-24724,-09622,-30644,-00187,-00143,00324
10:56:14.866 -> Raw:-13024,09968,03832,-23969,-17347,-32768,-00160,-00111,00296
10:56:14.866 -> Raw:-10888,04624,03512,-09165,-25115,-32768,-00144,-00091,00263
10:56:14.903 -> Raw:-04944,-00040,08704,04948,-27396,-32768,-00160,-00056,00243
10:56:14.941 -> Raw:-05256,-01136,18000,24141,-23527,-32768,-00173,-00047,00244
10:56:14.974 -> Raw:-02648,-02192,24272,32767,-10236,-32768,-00173,-00050,00231
10:56:15.011 -> Raw:-11312,-03424,27112,32767,-04651,-26006,-00167,-00082,00249
10:56:15.049 -> Raw:-10096,-05528,27288,32767,06872,-19046,-00155,-00111,00273
10:56:15.049 -> Raw:-06952,-04136,22552,32767,19124,-20220,-00135,-00127,00313
10:56:15.087 -> Raw:-04632,-02440,18360,32767,25084,-19031,-00106,-00136,00357
10:56:15.125 -> Raw:-06536,00128,17496,32767,30466,-12888,-00095,-00141,00431
10:56:15.163 -> Raw:-11136,01872,15728,32767,32767,-09315,-00094,-00127,00476
10:56:15.201 -> Raw:-10880,-00040,15528,28498,32767,-07853,-00108,-00097,00539
10:56:15.239 -> Raw:-04880,06552,03400,27443,32767,-00479,-00129,-00090,00601
10:56:15.239 -> Raw:-05120,00640,03120,17526,32767,00020,-00139,-00071,00625
10:56:15.277 -> Raw:-06392,-02520,03952,-01115,32767,-00949,-00198,-00046,00645
10:56:15.311 -> Raw:-02840,04168,00760,-10530,32767,-03955,-00255,-00053,00671
10:56:15.349 -> Raw:01632,05848,-05728,-08150,32767,00223,-00316,-00052,00659
10:56:15.383 -> Raw:09784,11128,-06168,-08617,32767,00225,-00359,-00067,00649
10:56:15.421 -> Raw:12352,16352,-16224,-26018,32767,-04585,-00412,-00061,00617
10:56:15.459 -> Raw:10344,19480,-13256,-25933,32767,-12825,-00429,-00072,00580
10:56:15.459 -> Raw:11616,23480,-15368,-20132,32767,-19719,-00443,-00092,00560
10:56:15.492 -> Raw:13080,28144,-11136,03113,31323,-21433,-00446,-00115,00527
10:56:15.526 -> Raw:12032,26312,-09400,00424,21869,-27545,-00432,-00132,00532
10:56:15.564 -> Raw:14072,26664,-13096,01064,18538,-32768,-00432,-00155,00527
10:56:15.598 -> Raw:17744,23112,-12464,-03979,14254,-32768,-00398,-00173,00505
10:56:15.633 -> Raw:18680,23632,-13904,-09156,07648,-32768,-00348,-00202,00481
10:56:15.671 -> Raw:16048,22768,-13224,-05923,01878,-32768,-00289,-00222,00458
10:56:15.705 -> Raw:11448,22352,-10576,-01795,-04363,-32768,-00252,-00216,00441
10:56:15.705 -> Raw:06624,16896,-07816,02508,-10447,-32768,-00156,-00180,00410
10:56:15.743 -> Raw:01984,10904,-05680,09994,-11279,-32768,-00098,-00143,00390
10:56:15.776 -> Raw:00400,07344,-06376,16769,-16224,-32768,-00068,-00108,00383
10:56:15.814 -> Raw:-00608,02920,-02416,18678,-18730,-32768,-00033,-00061,00365
10:56:15.848 -> Raw:-01112,-01408,-01520,18438,-20912,-32768,-00041,-00011,00345
10:56:15.886 -> Raw:-01120,-05800,02248,12311,-22337,-32768,-00043,00035,00315
10:56:15.924 -> Raw:-01880,-06096,04528,16635,-20585,-32768,-00052,00071,00299
10:56:15.924 -> Raw:01408,-05368,05696,27356,-21915,-32768,-00094,00107,00269
10:56:15.958 -> Raw:07696,-08752,09112,32306,-23782,-32768,-00135,00117,00241
10:56:15.997 -> Raw:12184,-12792,14168,32767,-24848,-32768,-00162,00127,00226
10:56:16.034 -> Raw:13104,-13112,20368,32767,-17480,-32768,-00216,00102,00196
10:56:16.072 -> Raw:11776,-13776,26896,32767,-02184,-32768,-00245,00077,00180
10:56:16.109 -> Raw:09120,-15952,31416,32767,13985,-26412,-00247,00023,00189
10:56:16.142 -> Raw:10600,-12176,30072,32767,24707,-20113,-00244,-00008,00182
10:56:16.176 -> Raw:12784,-03936,31184,32767,27078,-20788,-00206,-00058,00205
10:56:16.176 -> Raw:09104,-03872,31064,32767,32484,-21063,-00170,-00095,00239
10:56:16.212 -> Raw:03744,-04312,31784,32767,32767,-13626,-00154,-00110,00264
10:56:16.249 -> Raw:03024,02416,25544,26520,32767,-08698,-00106,-00128,00327
10:56:16.288 -> Raw:02344,09744,20520,18522,32767,-10600,-00090,-00131,00380
10:56:16.325 -> Raw:00264,07584,22296,-01129,32767,-16419,-00063,-00121,00444
10:56:16.363 -> Raw:06336,01976,21008,-01738,32767,-12777,-00081,-00105,00496
10:56:16.363 -> Raw:10704,04168,09408,-03030,32767,-02266,-00120,-00101,00566
10:56:16.400 -> Raw:08624,09048,07216,-18635,32767,-02412,-00171,-00098,00620
10:56:16.439 -> Raw:12040,11032,-00312,-21253,32767,-02147,-00224,-00110,00634
10:56:16.477 -> Raw:09304,17616,-06176,-31065,32767,-04631,-00302,-00120,00631
10:56:16.512 -> Raw:08472,21616,-11808,-25492,32767,-11830,-00346,-00130,00601
10:56:16.550 -> Raw:10704,22200,-15080,-16674,32767,-15522,-00371,-00143,00574
10:56:16.550 -> Raw:07584,23640,-12016,-19707,32767,-28253,-00383,-00147,00550
10:56:16.583 -> Raw:06904,26984,-07616,-23420,32767,-32768,-00364,-00162,00517
10:56:16.617 -> Raw:06216,29800,-09304,-24676,32767,-32768,-00333,-00173,00485
10:56:16.655 -> Raw:07192,31584,-07080,-21265,29961,-32768,-00306,-00191,00474
10:56:16.689 -> Raw:08520,32767,-09072,-22583,23521,-32768,-00228,-00203,00444
